experiment,experiment_num,experiment_label,analysis_branch,model,response,contrast_label,reference_condition,treatment_condition,fit_control,fit_treatment,percent_change,conf_low_percent,conf_high_percent,absolute_change,fit_response,conf_low_response,conf_high_response,experiment_block,experiment_order,display_label,contrast_group,reference_short,include_in_fig8,fig8_note,particle_type_model,particle_type_plot,ntu,ntu_f,particle_type_for_collapse,particle_size_class,particle_size_plot,bw_ug_l,bw_load_f,log10_ntu_plus1,absolute_percent_change,effect_direction,ci_crosses_zero,effect_strength_label,within_experiment_order,display_order,display_label_unique
Experiment 1,9.2,Light-only gradient,day4,factor_betabinomial,motile_fraction,0 lux vs 117 lux,117 lux,0 lux,0.387145339677204,0.3976059434319055,2.701983643513151,-3.2370600846846247,8.760124453655083,0.01046060375470148,0.3976059434319055,0.3746132124167965,0.4210597532494528,Experiment 1: light-only,1,0 lux,Light treatment,117 lux,TRUE,All Experiment 1 contrasts retained.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.701983643513151,Increase,TRUE,<10%,1,1,0 lux___1_01
Experiment 1,9.2,Light-only gradient,day4,factor_betabinomial,motile_fraction,4 lux vs 117 lux,117 lux,4 lux,0.387145339677204,0.3919242722993088,1.2344027248498903,-5.257375478990451,7.877611637281288,0.00477893262210477,0.3919242722993088,0.3667916555209604,0.4176431460088076,Experiment 1: light-only,1,4 lux,Light treatment,117 lux,TRUE,All Experiment 1 contrasts retained.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2344027248498903,Increase,TRUE,<10%,2,2,4 lux___1_02
Experiment 1,9.2,Light-only gradient,day4,factor_betabinomial,motile_fraction,70 lux vs 117 lux,117 lux,70 lux,0.387145339677204,0.35511182150943926,-8.274287427681243,-14.181755699661124,-2.190765973340046,-0.03203351816776473,0.35511182150943926,0.3322413334015597,0.37866389130818406,Experiment 1: light-only,1,70 lux,Light treatment,117 lux,TRUE,All Experiment 1 contrasts retained.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.274287427681243,Decrease,FALSE,<10%,3,3,70 lux___1_03
Experiment 2,10.2,Defined particle concentration series,day4,particle_only_betabinomial,motile_fraction,Kaolinite at 25 NTU vs Sand at 25 NTU,Sand at 25 NTU,Kaolinite at 25 NTU,0.3704826719264675,0.4107164621034308,10.859830492949149,5.721141770131207,16.07172592282962,0.04023379017696327,0.4107164621034308,0.3916785108211508,0.4300256315500654,Experiment 2: defined particles,2,Kaolinite,Particle type,Sand at 25 NTU,TRUE,Experiment 2 collapsed to one contrast per particle type because preferred model was particle-only.,KAOLINITE,Kaolinite,25,25 NTU,Kaolinite,NA,NA,NA,NA,NA,10.859830492949149,Increase,FALSE,10-25%,1,1,Kaolinite___2_01
Experiment 2,10.2,Defined particle concentration series,day4,particle_only_betabinomial,motile_fraction,Peat at 25 NTU vs Sand at 25 NTU,Sand at 25 NTU,Peat at 25 NTU,0.3704826719264675,0.39017786368078106,5.316089859722943,0.21655945766998544,10.50613584687726,0.01969519175431355,0.39017786368078106,0.37128498719155273,0.4094060847282028,Experiment 2: defined particles,2,Peat,Particle type,Sand at 25 NTU,TRUE,Experiment 2 collapsed to one contrast per particle type because preferred model was particle-only.,PEAT,Peat,25,25 NTU,Peat,NA,NA,NA,NA,NA,5.316089859722943,Increase,FALSE,<10%,2,2,Peat___2_02
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Coarse at 45 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Coarse at 45 ug/L,0.44106683206953173,0.45452456463809,3.0511776424931263,-7.451189851185548,13.735095215927906,0.01345773256855825,0.45452456463809,0.4082021050414212,0.5016477814201588,Experiment 3: brake-wear size,3,Coarse 45 ug/L,Brake-wear fraction/load,BWC 4.5 ug/L,TRUE,All Experiment 3 contrasts retained because preferred model included size by load interaction.,NA,NA,NA,NA,NA,BWC,Coarse,45,45 ug/L,NA,3.0511776424931263,Increase,TRUE,<10%,1,1,Coarse 45 ug/L___3_01
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Coarse at 450 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Coarse at 450 ug/L,0.44106683206953173,0.4690632546446397,6.347433209553717,-10.301678091942115,23.30593964565185,0.02799642257510798,0.4690632546446397,0.39562954685940166,0.5438616017486454,Experiment 3: brake-wear size,3,Coarse 450 ug/L,Brake-wear fraction/load,BWC 4.5 ug/L,TRUE,All Experiment 3 contrasts retained because preferred model included size by load interaction.,NA,NA,NA,NA,NA,BWC,Coarse,450,450 ug/L,NA,6.347433209553717,Increase,TRUE,<10%,2,2,Coarse 450 ug/L___3_02
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Fine at 4.5 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Fine at 4.5 ug/L,0.44106683206953173,0.4789608979318764,8.591456692524748,-8.130222586408543,25.52370070173983,0.03789406586234467,0.4789608979318764,0.405207116867458,0.5536434101816045,Experiment 3: brake-wear size,3,Fine 4.5 ug/L,Brake-wear fraction/load,BWC 4.5 ug/L,TRUE,All Experiment 3 contrasts retained because preferred model included size by load interaction.,NA,NA,NA,NA,NA,BWF,Fine,4.5,4.5 ug/L,NA,8.591456692524748,Increase,TRUE,<10%,3,3,Fine 4.5 ug/L___3_03
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Fine at 45 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Fine at 45 ug/L,0.44106683206953173,0.4059907248034253,-7.952560636111704,-18.31382376360573,2.7915071411665218,-0.03507610726610649,0.4059907248034253,0.36029062976459886,0.45337924418406966,Experiment 3: brake-wear size,3,Fine 45 ug/L,Brake-wear fraction/load,BWC 4.5 ug/L,TRUE,All Experiment 3 contrasts retained because preferred model included size by load interaction.,NA,NA,NA,NA,NA,BWF,Fine,45,45 ug/L,NA,7.952560636111704,Decrease,TRUE,<10%,4,4,Fine 45 ug/L___3_04
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Fine at 450 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Fine at 450 ug/L,0.44106683206953173,0.33201183200098966,-24.725277925987907,-38.925557487525694,-9.036392427275738,-0.10905500006854207,0.33201183200098966,0.26937910879389776,0.4012103022571756,Experiment 3: brake-wear size,3,Fine 450 ug/L,Brake-wear fraction/load,BWC 4.5 ug/L,TRUE,All Experiment 3 contrasts retained because preferred model included size by load interaction.,NA,NA,NA,NA,NA,BWF,Fine,450,450 ug/L,NA,24.725277925987907,Decrease,FALSE,10-25%,5,5,Fine 450 ug/L___3_05
