experiment,experiment_num,experiment_label,analysis_branch,model,response,contrast_label,reference_condition,treatment_condition,ntu,log10_ntu_plus1,fit_control,fit_treatment,percent_change,conf_low_percent,conf_high_percent,absolute_change,fit_response,conf_low_response,conf_high_response
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,25 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,25 NTU,25,1.414973347970818,0.2834319955404656,0.3688719233537026,30.14477164101212,13.678397520373764,47.524906693167004,0.085439927813237,0.3688719233537026,0.32220095059041853,0.41813278695965317
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,100 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,100 NTU,100,2.0043213737826426,0.2834319955404656,0.3719424706447976,31.228116972311028,15.277153912434382,48.01096114127492,0.08851047510433196,0.3719424706447976,0.3267323377362667,0.4195104207813386
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,400 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,400 NTU,400,2.603144372620182,0.2834319955404656,0.35422098612174024,24.97565260629444,12.192085338538423,38.37816768099292,0.07078899058127464,0.35422098612174024,0.3179882663134816,0.3922080020505699
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,500 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,500 NTU,500,2.699837725867246,0.2834319955404656,0.34945829020569436,23.295286242940122,10.921589873632323,36.27170820708757,0.06602629466522875,0.34945829020569436,0.3143872756640471,0.38623762192842875
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,4144 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,4144 NTU,4144,3.6175245348862926,0.2834319955404656,0.2814235101334495,-0.7086304434988675,-20.253613189631935,21.495329858110658,-0.002008485407016092,0.2814235101334495,0.22602677550804487,0.3443566379053142
