experiment,experiment_label,preferred_model,preferred_family,preferred_aic,next_best_delta_aic,model_selection_certainty,dharma_status,n_sim,uniformity_p,dispersion_p,outlier_p,zero_inflation_p,diagnostic_interpretation,interpretation_note
Experiment 1,Light-only gradient,factor_betabinomial,betabinomial,429.66,0.72,close competing model,success,1000,0.132,0.370,1.000,1.000,"No major uniformity, dispersion, or outlier problems detected.",Light-only effect was modest; factor beta-binomial was best supported but null model was close.
Experiment 2,Defined particle concentration series,particle_only_betabinomial,betabinomial,482.02,1.76,close competing model,success,1000,0.705,0.720,1.000,1.000,"No major uniformity, dispersion, or outlier problems detected.",Particle identity explained Day 4 motility better than NTU concentration alone.
Experiment 3,Brake-wear size comparison,interaction_betabinomial,betabinomial,643.92,2.55,moderate support,success,1000,0.360,0.292,0.240,1.000,"No major uniformity, dispersion, or outlier problems detected.",Brake-wear response depended on size/fraction and load.
Experiment 4,Field-derived SPM gradient,nonlinear_betabinomial,betabinomial,593.62,2.09,moderate support,success,1000,0.289,0.012,0.160,1.000,Residual dispersion remained; interpret fitted field-SPM curve cautiously.,Field-derived SPM showed a shallow nonlinear response rather than simple monotonic suppression.
