lux_exposure,lux_plot_f,n_rows,n_cultures,n_wells,n_videos,total_mobile_cells,total_stationary_cells,total_cells,mean_motility_ratio,sd_motility_ratio,min_motility_ratio,max_motility_ratio
0,0 lux,6,1,6,6,252988,382340,635328,0.39727344861912595,0.009369437113823,0.379262187088274,0.4058013856812933
4,4 lux,5,1,5,5,166282,253187,419469,0.3915195153684588,0.013730371291288093,0.369061608192043,0.404146044465394
70,70 lux,6,1,6,6,98768,149866,248634,0.3541314461985736,0.055593054082537924,0.28028580708022083,0.4067204231822827
117,117 lux,7,1,7,7,256255,390600,646855,0.38628585290118966,0.027764808131385373,0.32511447692849593,0.40468152351536263
