experiment,experiment_num,experiment_label,analysis_branch,model,response,contrast_label,reference_condition,treatment_condition,fit_control,fit_treatment,percent_change,conf_low_percent,conf_high_percent,absolute_change,fit_response,conf_low_response,conf_high_response
Experiment 1,9.2,Light-only gradient,day4,factor_betabinomial,motile_fraction,0 lux vs 117 lux,117 lux,0 lux,0.387145339677204,0.3976059434319055,2.701983643513151,-3.2370600846846247,8.760124453655083,0.01046060375470148,0.3976059434319055,0.3746132124167965,0.4210597532494528
Experiment 1,9.2,Light-only gradient,day4,factor_betabinomial,motile_fraction,4 lux vs 117 lux,117 lux,4 lux,0.387145339677204,0.39192427229930876,1.2344027248498903,-5.257375478990451,7.877611637281288,0.00477893262210477,0.39192427229930876,0.3667916555209604,0.4176431460088076
Experiment 1,9.2,Light-only gradient,day4,factor_betabinomial,motile_fraction,70 lux vs 117 lux,117 lux,70 lux,0.387145339677204,0.35511182150943926,-8.274287427681243,-14.181755699661123,-2.1907659733400466,-0.03203351816776473,0.35511182150943926,0.3322413334015597,0.37866389130818406
