ranking_category,experiment,experiment_num,experiment_label,experiment_block,display_label,contrast_label,reference_condition,treatment_condition,model,fit_control,fit_treatment,percent_change,conf_low_percent,conf_high_percent,absolute_percent_change,ci_crosses_zero
largest_negative_effect,Experiment 3,11.2,Brake-wear size comparison,Experiment 3: brake-wear size,Fine 450 ug/L,Fine at 450 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Fine at 450 ug/L,interaction_betabinomial,0.44106683206953173,0.33201183200098966,-24.725277925987907,-38.925557487525694,-9.036392427275738,24.725277925987907,FALSE
largest_positive_effect,Experiment 4,8.2,Field-derived SPM gradient,Experiment 4: field-derived SPM,100 NTU,100 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,100 NTU,nonlinear_betabinomial,0.2834319955404656,0.3719424706447976,31.228116972311028,15.277153912434382,48.01096114127492,31.228116972311028,FALSE
largest_absolute_effect,Experiment 4,8.2,Field-derived SPM gradient,Experiment 4: field-derived SPM,100 NTU,100 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,100 NTU,nonlinear_betabinomial,0.2834319955404656,0.3719424706447976,31.228116972311028,15.277153912434382,48.01096114127492,31.228116972311028,FALSE
