experiment_num,day4_experiment_label,days_from_start,n_rows,n_cultures,n_wells,n_videos,mean_total_cells,mean_mobile_cells,mean_stationary_cells,mean_motility_ratio,sd_motility_ratio,min_motility_ratio,max_motility_ratio
8.2,EXP4_FIELD_SPM,4,36,1,36,36,55896,16312.527777777777,39583.47222222222,0.3265183950628479,0.07792012293223957,0.0564262520539811,0.40221729490022173
9.2,EXP1_LIGHT,4,24,1,24,24,81261.91666666667,32262.208333333332,48999.708333333336,0.3820844965023675,0.03483650713609175,0.28028580708022083,0.4067204231822827
10.2,EXP2_DEFINED_PARTICLES,4,27,1,27,27,77867.55555555556,30914.444444444445,46953.11111111111,0.3900234732343619,0.03499128447375585,0.300531914893617,0.4944342185993514
11.2,EXP3_BRAKE_SIZE,4,36,1,36,36,28782.583333333332,13957.527777777777,14825.055555555555,0.4326171041680135,0.09942087865138477,0.05681271064034665,0.529946102053495
