particle_type_model,particle_type_plot,ntu,ntu_f,n_rows,n_cultures,n_wells,n_videos,total_mobile_cells,total_stationary_cells,total_cells,mean_motility_ratio,sd_motility_ratio,se_motility_ratio,min_motility_ratio,max_motility_ratio
SAND,Sand,25,25 NTU,3,1,3,3,85573,128830,214403,0.3729610884379822,0.04727698095449346,0.027295377680549612,0.3183994528043776,0.4017858835573587
SAND,Sand,100,100 NTU,3,1,3,3,37655,62019,99674,0.34633746577118496,0.0420319584395503,0.02426716251964153,0.300531914893617,0.3831353540870198
SAND,Sand,400,400 NTU,3,1,3,3,112503,176115,288618,0.38967870517703046,0.012070296142824618,0.006968788727258295,0.37610703790257066,0.3992121622453376
KAOLINITE,Kaolinite,25,25 NTU,3,1,3,3,43550,64778,108328,0.43082556777907544,0.05854220787189305,0.033799359473792485,0.37920597658383903,0.4944342185993514
KAOLINITE,Kaolinite,100,100 NTU,3,1,3,3,111192,163775,274967,0.4037989689507235,0.004832772965490156,0.0027902027725580877,0.39828256552264274,0.4072870093112925
KAOLINITE,Kaolinite,400,400 NTU,3,1,3,3,130270,197096,327366,0.3979647465969644,0.003556493268169081,0.002053342345748511,0.3940428313345982,0.40098049324622004
PEAT,Peat,25,25 NTU,3,1,3,3,56977,88888,145865,0.3703482933289868,0.03408473956546727,0.019678833563380817,0.33154172560113154,0.39543551923460235
PEAT,Peat,100,100 NTU,3,1,3,3,127894,194992,322886,0.39584308521279227,0.0070939350498866035,0.004095685310665752,0.38837247306039663,0.40248809574878813
PEAT,Peat,400,400 NTU,3,1,3,3,129076,191241,320317,0.40245333785451703,0.0074191085934293445,0.004283424343563498,0.394167371090448,0.4084805288709844
