effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,experiment,experiment_num,analysis_branch
fixed,cond,(Intercept),-0.4593276348549847,0.04635934243192094,-9.907984254295904,3.8432160122311174e-23,-0.5501902763685093,-0.3684649933414601,factor_betabinomial,Experiment 1,9.2,day4
fixed,cond,lux_exposure_f70 lux,-0.13731657018588384,0.06946055269292849,-1.97690005135625,0.04805292902832458,-0.2734567518102703,-0.0011763885614973768,factor_betabinomial,Experiment 1,9.2,day4
fixed,cond,lux_exposure_f4 lux,0.02009684672381058,0.07153593212986327,0.2809335969415709,0.778761331280732,-0.12011100385122307,0.16030469729884422,factor_betabinomial,Experiment 1,9.2,day4
fixed,cond,lux_exposure_f0 lux,0.04387724761287066,0.0678252753713576,0.6469158786696187,0.5176863885033844,-0.08905784935650177,0.17681234458224307,factor_betabinomial,Experiment 1,9.2,day4
