row_id,video_file,camera_file,frame_count,experiment,experiment_id,experiment_chr,experiment_num,ms4_block_flag,ms4_target_experiment,experiment_type,is_control,is_target_species,culture,well,days_from_start,species,site,season,collection_site,toxin_exposure,particle_type,particle_class,size_class,lux_exposure,ntu,cu_ug_l,bw_ug_l,mass_loading_ug_l,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,tile,tile_count,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,collection_date,release,year,preparation,comment,species_std,qc_recalc_total_cells,qc_recalc_motility_ratio,flag_missing_response_counts,flag_total_cell_count_le_zero,flag_inconsistent_count_totals,flag_missing_key_predictor,flag_unexpected_frame_count,flag_impossible_date_sequences,flag_negative_mobile_count,flag_negative_stationary_count,flag_negative_ntu,flag_negative_lux,flag_negative_mass_loading,qc_n_flags,qc_any_flag,qc_flag_reason,qc_flag_reason_pretty,exclude_missing_response_counts,exclude_total_cell_count_le_zero,exclude_missing_key_predictor,exclude_negative_mobile_count,exclude_negative_stationary_count,exclude_inconsistent_count_totals,exclude_unexpected_frame_count,exclude_impossible_date_sequences,exclude_negative_ntu,exclude_negative_lux,exclude_negative_mass_loading,exclusion_flag,exclusion_reason,exclusion_reason_pretty,stationary_ratio,experiment_num_chr,experiment_label_core,experiment_plot_group,log10_ntu_plus1,log10_bw_ug_l_plus1,lux_exposure_f,days_from_start_f,day_order,particle_type_plot,size_class_plot,treatment_group,brake_exposure,brake_size_treatment,use_exp1_light,use_exp2_defined_particles,use_exp3_brake_size,use_exp3_brake_presence,use_exp4_field_spm,day_label,ntu_band,lux_band,n_obs_experiment_day,n_obs_experiment_culture,n_obs_experiment_well,experiment_label,experiment_short_label,particle_label,particle_short_label,size_class_label
234,C1755,20241227_C1755_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24224,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,25,0,0,NA,1172,2363,3535,0.33154172560113154,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,3535,0.33154172560113154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6684582743988685,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,1.414973347970818,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,25-<100 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
235,C1756,20241227_C1756_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24225,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,25,0,0,NA,16127,25863,41990,0.3840676351512265,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,41990,0.3840676351512265,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6159323648487736,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,1.414973347970818,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,25-<100 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
236,C1757,20241227_C1757_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24226,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,25,0,0,NA,39678,60662,100340,0.39543551923460235,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,100340,0.39543551923460235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6045644807653976,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,1.414973347970818,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,25-<100 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
237,C1758,20241227_C1758_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24231,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,100,0,0,NA,40580,61722,102302,0.396668686829192,none,NA,NA,NA,NA,NA,2024,NA,100 NTU / time check 12:40,LAMINARIA DIGITATA,102302,0.396668686829192,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.603331313170808,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
238,C1759,20241227_C1759_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24232,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,100,0,0,NA,46912,69643,116555,0.40248809574878813,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,116555,0.40248809574878813,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.5975119042512119,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
239,C1760,20241227_C1760_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24233,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,100,0,0,NA,40402,63627,104029,0.38837247306039663,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,104029,0.38837247306039663,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6116275269396034,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
240,C1761,20241227_C1761_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24234,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,400,0,0,NA,37304,57336,94640,0.394167371090448,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,94640,0.394167371090448,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.605832628909552,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
241,C1762,20241227_C1762_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24235,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,400,0,0,NA,47454,68718,116172,0.4084805288709844,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,116172,0.4084805288709844,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.5915194711290156,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
242,C1763,20241227_C1763_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24236,4,L. DIGITATA,BR,WINTER,Bognor,PEAT,PEAT,NA,NA,0,400,0,0,NA,44318,65187,109505,0.4047121136021186,none,NA,NA,NA,NA,NA,2024,NA,100 NTU / slight adjustment of focus,LAMINARIA DIGITATA,109505,0.4047121136021186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.5952878863978813,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,PEAT,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Peat,Peat,NA
243,C1765,20241227_C1765_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24241,4,L. DIGITATA,BR,WINTER,Bognor,KAOLINITE,KAOLINITE,NA,NA,0,100,0,0,NA,42997,62952,105949,0.4058273320182352,none,NA,NA,NA,NA,NA,2024,NA,100 NTU / time check 12:44,LAMINARIA DIGITATA,105949,0.4058273320182352,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.5941726679817648,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,KAOLINITE,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Kaolinite,Kaolinite,NA
