video_file,camera_file,frame_count,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,species,site,culture,experiment,well,days_from_start,toxin_exposure,cu_ug_l,ntu,tile,tile_count,lux_exposure,comment,collection_date,year,season,collection_site,preparation,release,non_mobile_count,video_file_name,experiment_chr,experiment_block,experiment_suffix,species_std,spm_material,brake_type,brake_class,log_ntu,lux_f
C1771,20241227_C1771_clip.mp4,504,43405,66748,110153,0.3940428313345982,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24246,4,GRAPHITE,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,66748,C1771,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1773,20241227_C1773_clip.mp4,504,2852,5174,8026,0.35534512833291804,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24251,4,SAND,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,5174,C1773,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1774,20241227_C1774_clip.mp4,504,1130,2630,3760,0.300531914893617,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24252,4,SAND,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,2630,C1774,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1775,20241227_C1775_clip.mp4,504,33673,54215,87888,0.3831353540870198,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24253,4,SAND,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,54215,C1775,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1776,20241227_C1776_clip.mp4,504,45402,68327,113729,0.3992121622453376,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24254,4,PLASTER OF PARIS,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,68327,C1776,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1777,20241227_C1777_clip.mp4,504,29602,45584,75186,0.39371691538318304,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24255,4,PLASTER OF PARIS,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,45584,C1777,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1778,20241227_C1778_clip.mp4,504,37499,62204,99703,0.37610703790257066,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24256,4,PLASTER OF PARIS,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,62204,C1778,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1780,20241227_C1780_clip.mp4,504,42256,63729,105985,0.39869792895221023,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24261,4,CLAY CLOGGED,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,63729,C1780,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1781,20241227_C1781_clip.mp4,504,42386,63108,105494,0.4017858835573587,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24262,4,CLAY CLOGGED,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,63108,C1781,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1782,20241227_C1782_clip.mp4,504,931,1993,2924,0.3183994528043776,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24263,4,CLAY CLOGGED,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,1993,C1782,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1783,20241227_C1783_clip.mp4,504,5641,5768,11409,0.4944342185993514,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24264,4,CLAY SCHOOL,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,5768,C1783,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1784,20241227_C1784_clip.mp4,504,12225,16963,29188,0.4188365081540359,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24265,4,CLAY SCHOOL,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,16963,C1784,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1785,20241227_C1785_clip.mp4,504,25684,42047,67731,0.37920597658383903,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24266,4,CLAY SCHOOL,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,42047,C1785,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1786,20241227_C1786_clip.mp4,504,3076,5195,8271,0.3719018256559062,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24271,4,none,0,0,none,NA,70,70 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,5195,C1786,9.2,9,2,L. digitata,NA,Control,NA,0,70
C1787,20241227_C1787_clip.mp4,504,39850,60381,100231,0.3975815865351039,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24272,4,none,0,0,none,NA,70,70 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,60381,C1787,9.2,9,2,L. digitata,NA,Control,NA,0,70
C1788,20241227_C1788_clip.mp4,504,676,1670,2346,0.28815004262574595,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24273,4,none,0,0,none,NA,70,70 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,1670,C1788,9.2,9,2,L. digitata,NA,Control,NA,0,70
C1789,20241227_C1789_clip.mp4,504,863,2216,3079,0.28028580708022083,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24274,4,none,0,0,none,NA,70,70 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,2216,C1789,9.2,9,2,L. digitata,NA,Control,NA,0,70
C1790,20241227_C1790_clip.mp4,504,47363,69088,116451,0.4067204231822827,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24275,4,none,0,0,none,NA,70,70 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,69088,C1790,9.2,9,2,L. digitata,NA,Control,NA,0,70
