instrument_type,Instrument_id,file_name,directory,length,last_write_time,Site_code,timezone,site_code,date_time_deployment_start,date_time_deployment_end
,GP9,GP9_Dover_2024_Nov_18_RAW.CSV,C:\SPM_Analysis\data_raw\turbidity_loggers,2809995,26/11/2024 14:31,DV,,,,
,,latest file site 4 23-04-25 13-25-26 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1812,25/04/2023 13:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,Rampion_data_11_JLY_2025 25-07-11 10-42-33 Rampion -_11_07-2025.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,92570,11/07/2025 15:40,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,spare 23-04-25 11-10-08 Pilot 25 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,42240,08/05/2023 17:01,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,spare 23-04-25 11-43-36 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,14825,08/05/2023 17:01,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,spare 23-04-25 12-04-56 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,66766,08/05/2023 16:24,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,Upload_28_08_2023 23-04-05 14-47-56 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1951,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-05 14-51-06 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15361,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-05 15-22-45 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,19021,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-07 10-35-20 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,509075,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-07 17-20-51 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1797,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 11-10-08 Pilot 25 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,43644,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 11-43-36 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15440,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 12-04-56 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,72092,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 13-00-18 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,147846,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 13-25-26 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,52387,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 13-59-32 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,90022,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 14-26-18 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,121164,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-04-25 14-51-49 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,144966,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-05-24 05-41-01 Pilot 22 May 23 Bogn.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1814,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-05-24 09-18-12 Pilot 24 May 23 Bogn.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,122561,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-06-02 10-01-35 2nd June.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,383573,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-04 21-25-10 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1795,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-04 21-27-31 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1795,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-07 09-06-59 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,19894,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-07 09-16-34 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1808862,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-10 14-50-52 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1795,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-10 14-52-11 15th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2092449,28/08/2023 17:10,,,,,
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-18 14-44-44 19th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2523717,28/08/2023 17:10,,,, 18/07/2023 14:44:44, 20/07/2023 16:38:11
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-20 16-38-53 21st July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2370472,28/08/2023 17:10,,,, 20/07/2023 16:38:53, 21/07/2023 15:13:59
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-07-21 15-14-46 24th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2273505,28/08/2023 17:10,,,, 21/07/2023 15:14:46, 09/08/2023 14:49:16
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-08-09 14-50-21 10_August_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2664922,28/08/2023 17:10,,,, 09/08/2023 14:50:21, 10/08/2023 15:37:55
AQUAlogger 310TYPT5,AQL,Upload_28_08_2023 23-08-10 15-39-11 August_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2235483,28/08/2023 17:10,,,, 10/08/2023 15:39:11, 24/08/2023 15:20:54
AQUAlogger 310TYPT5 2554-327,AQL,Upload_28_08_2023 23-08-24 15-21-37 August_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2630017,22/01/2024 07:56,,,, 10/08/2023 15:39:11, 24/08/2023 15:20:54
,,,,,,,,,,
,,,,,,,,,,
