HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,09/10/2024 10:58:08,23,9364173,5.393092,8388479,0.038698,12146523,18.847947,3069402,1.001186,32.595001,2360.199951,2081.893900,,-1.000000,,4163.787598,
Sample,09/10/2024 10:58:09,23,9364199,5.393235,8388481,0.038709,12146618,18.846861,3069065,1.001075,33.575001,2363.699951,2084.852310,,-1.000000,,4169.704590,
Sample,09/10/2024 10:58:10,23,9364239,5.393455,8388480,0.038703,12146841,18.844311,3069125,1.001095,24.020000,2324.699951,2051.887174,,-1.000000,,4103.774414,
Sample,09/10/2024 10:58:11,23,9364234,5.393428,8388481,0.038709,12147096,18.841395,3069590,1.001248,13.407000,2276.399902,2011.061079,,-1.000000,,4022.122070,
Sample,09/10/2024 10:58:12,23,9364260,5.393571,8388482,0.038714,12147446,18.837393,3069593,1.001249,6.491099,2232.399902,1973.869643,,-1.000000,,3947.739258,
Sample,09/10/2024 10:58:13,23,9364274,5.393648,8388480,0.038703,12147875,18.832487,3069684,1.001278,5.420600,2212.000000,1956.626424,,-1.000000,,3913.252930,
Sample,09/10/2024 10:58:14,23,9364294,5.393758,8388478,0.038692,12148288,18.827765,3067943,1.000706,231.580002,4924.700195,4249.563133,,-1.000000,,8499.125977,
Sample,09/10/2024 10:58:15,23,9364315,5.393873,8388478,0.038692,12147559,18.836100,3069670,1.001274,27.126001,2320.000000,2047.914494,,-1.000000,,4095.829102,
Sample,09/10/2024 10:58:16,23,9364330,5.393956,8388480,0.038703,12145982,18.854134,3069958,1.001369,10.381000,2185.699951,1934.396047,,-1.000000,,3868.791992,
Sample,09/10/2024 10:58:17,23,9364367,5.394159,8388476,0.038681,12145442,18.860310,3069801,1.001317,9.549700,2187.699951,1936.086567,,-1.000000,,3872.173096,
Sample,09/10/2024 10:58:18,23,9364366,5.394154,8388474,0.038670,12145528,18.859326,3069698,1.001283,9.953099,2184.800049,1933.635396,,-1.000000,,3867.270752,
Sample,09/10/2024 10:58:19,23,9364377,5.394214,8388478,0.038692,12145833,18.855838,3069871,1.001340,9.018200,2192.800049,1940.397475,,-1.000000,,3880.794922,
Sample,09/10/2024 10:58:20,23,9364386,5.394264,8388479,0.038698,12146229,18.851310,3069950,1.001366,6.700500,2175.199951,1925.520818,,-1.000000,,3851.041748,
Sample,09/10/2024 10:58:21,23,9364409,5.394390,8388480,0.038703,12146407,18.849274,3069846,1.001332,1.807300,2155.600098,1908.953848,,-1.000000,,3817.907715,
Sample,09/10/2024 10:58:22,23,9364413,5.394412,8388482,0.038714,12146140,18.852327,3069986,1.001378,1.668400,2155.600098,1908.953848,,-1.000000,,3817.907715,
Sample,09/10/2024 10:58:23,23,9364442,5.394571,8388477,0.038687,12145676,18.857634,3069905,1.001351,2.103000,2155.399902,1908.784631,,-1.000000,,3817.569336,
Sample,09/10/2024 10:58:24,23,9364450,5.394615,8388483,0.038720,12145387,18.860939,3067553,1.000578,2.169500,2161.899902,1914.278820,,-1.000000,,3828.557617,
Sample,09/10/2024 10:58:25,23,9364458,5.394659,8388477,0.038687,12144590,18.870054,3075549,1.003206,1.321900,2143.100098,1898.388099,,-1.000000,,3796.776123,
Sample,09/10/2024 10:58:26,23,9360516,5.372987,8388475,0.038676,12142580,18.893046,3070032,1.001393,0.580200,2142.300049,1897.711850,,-1.000000,,3795.423584,
Sample,09/10/2024 10:58:27,23,9361684,5.379408,8388483,0.038720,12140134,18.921030,3069118,1.001093,0.090700,2139.899902,1895.683102,,-1.000000,,3791.366211,
Sample,09/10/2024 10:58:28,23,9359577,5.367824,8388485,0.038731,12138470,18.940071,3068588,1.000918,0.055200,2137.600098,1893.739169,,-1.000000,,3787.478271,
Sample,09/10/2024 10:58:29,23,9361446,5.378100,8388483,0.038720,12137103,18.955715,3069207,1.001122,1.714400,2149.399902,1903.713071,,-1.000000,,3807.426025,
Sample,09/10/2024 10:58:30,23,9359409,5.366901,8388477,0.038687,12135771,18.970961,3069040,1.001067,32.752998,2350.300049,2073.525910,,-1.000000,,4147.051758,
Sample,09/10/2024 10:58:31,23,9361281,5.377193,8388484,0.038725,12134054,18.990616,3070440,1.001527,0.480700,2150.399902,1904.558331,,-1.000000,,3809.116699,
Sample,09/10/2024 10:58:32,23,9363727,5.390640,8388477,0.038687,12132781,19.005190,3070852,1.001662,0.397800,2150.600098,1904.727548,,-1.000000,,3809.455078,
Sample,09/10/2024 10:58:33,23,9363968,5.391965,8388479,0.038698,12131906,19.015208,3070871,1.001669,0.567500,2154.800049,1908.277599,,-1.000000,,3816.555176,
Sample,09/10/2024 10:58:34,23,9364076,5.392559,8388483,0.038720,12131406,19.020933,3070645,1.001594,0.614500,2153.500000,1907.178719,,-1.000000,,3814.357422,
Sample,09/10/2024 10:58:35,23,9364127,5.392840,8388482,0.038714,12130895,19.026785,3070982,1.001705,0.611000,2156.699951,1909.883510,,-1.000000,,3819.767090,
Sample,09/10/2024 10:58:36,23,9364159,5.393016,8388481,0.038709,12130709,19.028915,3070923,1.001686,0.524600,2155.500000,1908.869239,,-1.000000,,3817.738525,
Sample,09/10/2024 10:58:37,23,9364192,5.393197,8388478,0.038692,12130878,19.026979,3071084,1.001738,0.584300,2154.300049,1907.854969,,-1.000000,,3815.709961,
Sample,09/10/2024 10:58:38,23,9364245,5.393488,8388478,0.038692,12130886,19.026888,3071029,1.001720,0.638300,2158.500000,1911.405019,,-1.000000,,3822.810059,
Sample,09/10/2024 10:58:39,23,9364266,5.393604,8388474,0.038670,12131068,19.024804,3071148,1.001760,0.579700,2157.100098,1910.221738,,-1.000000,,3820.443359,
Sample,09/10/2024 10:58:40,23,9364287,5.393719,8388480,0.038703,12131154,19.023819,3071209,1.001780,0.709400,2158.899902,1911.743040,,-1.000000,,3823.486084,
Sample,09/10/2024 10:58:41,23,9364306,5.393824,8388480,0.038703,12131313,19.021998,3070899,1.001678,0.728500,2161.300049,1913.771788,,-1.000000,,3827.543457,
Sample,09/10/2024 10:58:42,23,9364314,5.393868,8388478,0.038692,12131357,19.021494,3071111,1.001747,0.635800,2159.899902,1912.588300,,-1.000000,,3825.176514,
Sample,09/10/2024 10:58:43,23,9364349,5.394060,8388484,0.038725,12131469,19.020212,3071262,1.001797,0.678200,2160.699951,1913.264549,,-1.000000,,3826.529053,
Sample,09/10/2024 10:58:44,23,9364367,5.394159,8388478,0.038692,12131812,19.016284,3071390,1.001839,0.672300,2159.500000,1912.250279,,-1.000000,,3824.500488,
Sample,09/10/2024 10:58:45,23,9364375,5.394203,8388477,0.038687,12131874,19.015574,3071277,1.001802,0.821300,2167.300049,1918.843347,,-1.000000,,3837.686768,
Sample,09/10/2024 10:58:46,23,9364369,5.394170,8388481,0.038709,12131698,19.017590,3072240,1.002118,15.422000,2380.300049,2098.883707,,-1.000000,,4197.767578,
Sample,09/10/2024 10:58:47,23,9364416,5.394428,8388480,0.038703,12131116,19.024254,3071905,1.002008,2.382100,2208.100098,1953.329993,,-1.000000,,3906.659912,
Sample,09/10/2024 10:58:48,23,9364408,5.394384,8388478,0.038692,12130394,19.032522,3071599,1.001908,1.497500,2186.699951,1935.241307,,-1.000000,,3870.482666,
Sample,09/10/2024 10:58:49,23,9364425,5.394478,8388476,0.038681,12129360,19.044363,3071718,1.001947,1.520800,2192.399902,1940.059247,,-1.000000,,3880.118408,
Sample,09/10/2024 10:58:50,23,9364432,5.394516,8388476,0.038681,12128570,19.053411,3070888,1.001674,1.729700,2195.600098,1942.764244,,-1.000000,,3885.528564,
Sample,09/10/2024 10:58:51,23,9364444,5.394582,8388480,0.038703,12127636,19.064109,3070598,1.001579,2.457400,2211.100098,1955.865772,,-1.000000,,3911.731445,
Sample,09/10/2024 10:58:52,23,9364459,5.394665,8388481,0.038709,12126745,19.074315,3070595,1.001578,1.194100,2176.000000,1926.197067,,-1.000000,,3852.394043,
Sample,09/10/2024 10:58:53,23,9364471,5.394731,8388477,0.038687,12125935,19.083594,3070439,1.001527,1.977000,2199.899902,1946.398696,,-1.000000,,3892.797363,
Sample,09/10/2024 10:58:54,23,9364473,5.394742,8388481,0.038709,12125118,19.092954,3070441,1.001527,2.922000,2218.300049,1961.951603,,-1.000000,,3923.903320,
Sample,09/10/2024 10:58:55,23,9364489,5.394830,8388479,0.038698,12124503,19.100000,3070359,1.001500,3.038300,2214.699951,1958.908584,,-1.000000,,3917.817139,
Sample,09/10/2024 10:58:56,23,9364492,5.394846,8388475,0.038676,12124064,19.105030,3070468,1.001536,3.605300,2222.100098,1965.163631,,-1.000000,,3930.327148,
Sample,09/10/2024 10:58:57,23,9364499,5.394885,8388485,0.038731,12123461,19.111940,3070453,1.001531,3.310600,2220.399902,1963.726524,,-1.000000,,3927.453125,
Sample,09/10/2024 10:58:58,23,9364502,5.394901,8388479,0.038698,12122842,19.119033,3070547,1.001562,3.503900,2218.300049,1961.951603,,-1.000000,,3923.903320,
Sample,09/10/2024 10:58:59,23,9364507,5.394929,8388482,0.038714,12122370,19.124442,3070505,1.001548,2.834700,2218.100098,1961.782592,,-1.000000,,3923.565186,
Sample,09/10/2024 10:59:00,23,9364514,5.394967,8388477,0.038687,12122046,19.128155,3070813,1.001649,2.823600,2211.199951,1955.950175,,-1.000000,,3911.900391,
Sample,09/10/2024 10:59:01,23,9364523,5.395017,8388486,0.038736,12121781,19.131191,3070706,1.001614,3.625100,2223.100098,1966.008891,,-1.000000,,3932.017822,
Sample,09/10/2024 10:59:02,23,9364532,5.395066,8388482,0.038714,12121712,19.131982,3070652,1.001597,2.814600,2215.800049,1959.838453,,-1.000000,,3919.677002,
Sample,09/10/2024 10:59:03,23,9364540,5.395110,8388483,0.038720,12121940,19.129369,3070733,1.001623,3.618500,2225.399902,1967.952824,,-1.000000,,3935.905762,
Sample,09/10/2024 10:59:04,23,9364551,5.395171,8388485,0.038731,12122511,19.122826,3070267,1.001470,2.917600,2200.300049,1946.736924,,-1.000000,,3893.473877,
Sample,09/10/2024 10:59:05,23,9364557,5.395204,8388481,0.038709,12123519,19.111275,3070001,1.001383,5.718600,2259.899902,1997.114291,,-1.000000,,3994.228516,
Sample,09/10/2024 10:59:06,23,9364545,5.395138,8388478,0.038692,12125199,19.092026,3070044,1.001397,8.379100,2286.600098,2019.682895,,-1.000000,,4039.365723,
Sample,09/10/2024 10:59:07,23,9364555,5.395193,8388482,0.038714,12126714,19.074670,3070129,1.001425,2.808800,2200.000000,1946.483305,,-1.000000,,3892.966553,
Sample,09/10/2024 10:59:08,23,9364378,5.394220,8388485,0.038731,12128009,19.059837,3070064,1.001403,0.726700,2163.899902,1915.969340,,-1.000000,,3831.938721,
Sample,09/10/2024 10:59:09,23,9364405,5.394368,8388477,0.038687,12129378,19.044157,3070129,1.001425,0.127300,2137.800049,1893.908180,,-1.000000,,3787.816406,
