Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
Sample,25/04/2023 15:02,23,9416553,5.681071,12689417,12.732316,3202505,1.044927,1.9732,-263.5,1.611119,,0.568575,,3.222239,
Sample,25/04/2023 15:02,23,,,12700056,12.613328,3202004,1.044763,0.893,3364.600098,2930.873073,,0.565894,,5861.746094,
Sample,25/04/2023 15:02,23,,,12711060,12.490251,3201025,1.044441,0.0769,3572,3106.179894,,0.560648,,6212.359863,
Sample,25/04/2023 15:02,23,,,12720787,12.38145,3201288,1.044527,0.1285,3126.399902,2729.531998,,0.562058,,5459.063965,
Sample,25/04/2023 15:02,23,,,12728034,12.300385,3200720,1.044341,0.0048,3110.600098,2716.177057,,0.559012,,5432.354004,
Sample,25/04/2023 15:02,23,,,12734127,12.232224,3201834,1.044707,5.9774,667.099976,4.903949,,0.564984,,9.807899,
Sample,25/04/2023 15:02,23,,,12751363,12.039385,3274590,1.068624,2.3727,-63.470001,1.939646,,0.933207,,3.879292,
Sample,25/04/2023 15:02,23,,,12766797,11.866673,3236299,1.056036,1.9077,-62.390003,1.557256,,0.74432,,3.114511,
Sample,25/04/2023 15:02,23,,,12774166,11.784198,3253805,1.06179,2.3221,-67.770004,1.898035,,0.831873,,3.796071,
Sample,25/04/2023 15:02,23,,,12777910,11.74229,3257234,1.062918,2.5509,-65.520004,2.086188,,0.848777,,4.172375,
Sample,25/04/2023 15:02,23,,,12780976,11.70797,3309716,1.080172,2.2496,-67.389999,1.838415,,1.098936,,3.67683,
Sample,25/04/2023 15:02,23,,,12782566,11.690171,3287497,1.072867,2.2247,-67.409996,1.817939,,0.994855,,3.635878,
Sample,25/04/2023 15:02,23,,,12783211,11.682951,3298172,1.076377,1.7634,-65.720001,1.438591,,1.045167,,2.877183,
Sample,25/04/2023 15:02,23,,,12783484,11.679895,3297769,1.076244,2.5826,-68.120003,2.112256,,1.043278,,4.224512,
Sample,25/04/2023 15:02,23,,,12783719,11.677264,3300574,1.077166,2.154,-68.080002,1.759799,,1.056408,,3.519598,
Sample,25/04/2023 15:02,23,,,12784346,11.670245,3353842,1.094681,1.6859,-65.290001,1.37486,,1.29908,,2.74972,
Sample,25/04/2023 15:02,23,,,12785162,11.66111,3390286,1.106666,1.6957,-67.830002,1.382919,,1.458956,,2.765838,
Sample,25/04/2023 15:02,23,,,12786180,11.649713,3386433,1.105399,1.9699,-69.490005,1.608406,,1.442254,,3.216811,
Sample,25/04/2023 15:02,23,,,12786243,11.649008,3378393,1.102755,2.288,-68.830002,1.869993,,1.407257,,3.739987,
Sample,25/04/2023 15:02,23,,,12786347,11.647844,3401819,1.110458,2.4133,-66.909996,1.973033,,1.508685,,3.946066,
Sample,25/04/2023 15:02,23,9416228,5.679284,12786952,11.64107,3454874,1.127908,3.0561,-68.020004,2.501636,,1.732929,,5.003272,
Sample,25/04/2023 15:02,23,,,12788253,11.626505,3510874,1.146329,3.3906,-69.790001,2.77671,,1.962936,,5.553419,
Sample,25/04/2023 15:02,23,,,12789785,11.609353,3515690,1.147914,2.1271,-69.07,1.737678,,1.982447,,3.475356,
Sample,25/04/2023 15:02,23,,,12791231,11.593164,3543929,1.157204,2.4237,-70.32,1.981585,,2.096099,,3.963171,
Sample,25/04/2023 15:02,23,,,12794711,11.5542,3627795,1.184799,1.9223,-67.690002,1.569262,,2.427115,,3.138524,
Sample,25/04/2023 15:02,23,,,12797692,11.520821,3656052,1.194099,2.0304,-68.5,1.658157,,2.536812,,3.316315,
Sample,25/04/2023 15:02,23,,,12799052,11.505592,3653923,1.193398,2.0665,-68.330002,1.687844,,2.528575,,3.375688,
Sample,25/04/2023 15:02,23,,,12799482,11.500777,3712776,1.212768,2.6874,-70.169998,2.198437,,2.754754,,4.396875,
Sample,25/04/2023 15:02,23,,,12801537,11.477765,3758767,1.227907,2.1026,-70.020004,1.717531,,2.929545,,3.435061,
Sample,25/04/2023 15:02,23,,,12802642,11.46539,3747509,1.224201,2.6913,-68.770004,2.201645,,2.886901,,4.403289,
Sample,25/04/2023 15:02,23,,,12802542,11.46651,3759235,1.228061,2.4106,-69.550003,1.970813,,2.931316,,3.941626,
Sample,25/04/2023 15:02,23,,,12802855,11.463005,3774650,1.233136,4.2447,-67.43,3.479074,,2.98956,,6.958148,
Sample,25/04/2023 15:02,23,,,12803521,11.455547,3794172,1.239563,2.215,-71.790001,1.809962,,3.0631,,3.619924,
Sample,25/04/2023 15:02,23,,,12804312,11.446688,3808241,1.244195,2.0753,-69.979996,1.695081,,3.115952,,3.390161,
Sample,25/04/2023 15:02,23,,,12806650,11.420504,3945120,1.289269,2.3467,-69.770004,1.918265,,3.624731,,3.83653,
Sample,25/04/2023 15:02,23,,,12811164,11.369947,3958901,1.293808,2.5207,-69.970001,2.061353,,3.675488,,4.122705,
Sample,25/04/2023 15:02,23,,,12813559,11.34312,3974941,1.299092,2.8454,-70.559998,2.328368,,3.734474,,4.656735,
