Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,,,
Sample,05/04/2023 15:02,0,9447478,5.851093,8388483,0.03872,12200874,18.227779,3171888,1.034864,0.1195,2476.300049,2180.028658,,0.399995,,4360.057129,
Sample,05/04/2023 15:02,0,9447475,5.851077,8388483,0.03872,12200773,18.228929,3171842,1.034849,0.111,2476.699951,2180.366679,,0.399734,,4360.733398,
Sample,05/04/2023 15:02,0,9447456,5.850972,8388481,0.038709,12201043,18.225854,3171756,1.034821,0.1185,2476.300049,2180.028658,,0.399245,,4360.057129,
Sample,05/04/2023 15:02,0,9447440,5.850884,8388479,0.038698,12201273,18.223236,3171869,1.034858,0.1157,2478.600098,2181.972797,,0.399887,,4363.945801,
Sample,05/04/2023 15:03,0,9447423,5.850791,8388478,0.038692,12201173,18.224374,3171768,1.034825,0.1174,2478,2181.465559,,0.399314,,4362.931152,
Sample,05/04/2023 15:03,0,9447417,5.850758,8388479,0.038698,12201425,18.221505,3171881,1.034862,0.1134,2476.899902,2180.53569,,0.399955,,4361.071289,
Sample,05/04/2023 15:03,0,9447400,5.850664,8388478,0.038692,12201752,18.217782,3171893,1.034866,0.1131,2478.399902,2181.80358,,0.400023,,4363.606934,
Sample,05/04/2023 15:03,0,9447386,5.850587,8388481,0.038709,12202330,18.211201,3171894,1.034866,0.1199,2478,2181.465559,,0.400029,,4362.931152,
Sample,05/04/2023 15:03,0,9447362,5.850455,8388478,0.038692,12202009,18.214856,3171824,1.034843,0.1189,2478.699951,2182.057199,,0.399632,,4364.114258,
Sample,05/04/2023 15:03,0,9447359,5.850439,8388478,0.038692,12201546,18.220127,3171776,1.034827,0.1221,2478,2181.465559,,0.399359,,4362.931152,
Sample,05/04/2023 15:04,0,9447353,5.850406,8388481,0.038709,12206644,18.162096,3171678,1.034795,0.1003,2480.5,2183.578708,,0.398803,,4367.157227,
Sample,05/04/2023 15:04,0,9447368,5.850488,8388480,0.038703,12206397,18.164907,3171401,1.034704,0.0404,2483.5,2186.114488,,0.397229,,4372.229004,
Sample,05/04/2023 15:04,0,9447324,5.850246,8388479,0.038698,12205085,18.17984,3171789,1.034832,0.1438,2478.399902,2181.80358,,0.399433,,4363.606934,
Sample,05/04/2023 15:04,0,9447314,5.850191,8388479,0.038698,12203997,18.192224,3171793,1.034833,0.1419,2477.100098,2180.704907,,0.399456,,4361.409668,
Sample,05/04/2023 15:04,0,9447296,5.850092,8388479,0.038698,12205510,18.175002,3171842,1.034849,0.1454,2478.199951,2181.634569,,0.399734,,4363.269043,
Sample,05/04/2023 15:04,0,9447278,5.849994,8388486,0.038736,12205198,18.178553,3171780,1.034829,0.148,2477.199951,2180.789309,,0.399382,,4361.578613,
Sample,05/04/2023 15:05,0,9447270,5.84995,8388481,0.038709,12204996,18.180853,3171823,1.034843,0.1657,2478.699951,2182.057199,,0.399626,,4364.114258,
Sample,05/04/2023 15:05,0,9447254,5.849862,8388482,0.038714,12205286,18.177552,3171739,1.034815,0.1494,2478.600098,2181.972797,,0.399149,,4363.945801,
Sample,05/04/2023 15:05,0,9447250,5.84984,8388477,0.038687,12204550,18.185929,3171777,1.034828,0.1543,2477,2180.620299,,0.399365,,4361.240723,
Sample,05/04/2023 15:05,0,9447239,5.849779,8388483,0.03872,12203805,18.19441,3171725,1.034811,0.1495,2476.899902,2180.53569,,0.399069,,4361.071289,
Sample,05/04/2023 15:05,0,9447224,5.849697,8388479,0.038698,12203723,18.195343,3171691,1.0348,0.1497,2477,2180.620299,,0.398876,,4361.240723,
Sample,05/04/2023 15:05,0,9447219,5.849669,8388477,0.038687,12205609,18.173875,3171724,1.03481,0.1537,2477.800049,2181.296548,,0.399064,,4362.593262,
Sample,05/04/2023 15:06,0,9447193,5.849526,8388480,0.038703,12204375,18.187921,3171865,1.034857,0.1534,2476.600098,2180.282277,,0.399864,,4360.564453,
Sample,05/04/2023 15:06,0,9447189,5.849504,8388491,0.038764,12204297,18.188809,3171737,1.034815,0.1535,2478.300049,2181.719178,,0.399138,,4363.438477,
Sample,05/04/2023 15:06,0,9447183,5.849471,8388480,0.038703,12204099,18.191063,3171704,1.034804,0.1498,2476.899902,2180.53569,,0.39895,,4361.071289,
Sample,05/04/2023 15:06,0,9447163,5.849361,8388480,0.038703,12204025,18.191905,3171793,1.034833,0.1507,2479.199951,2182.479829,,0.399456,,4364.959473,
Sample,05/04/2023 15:06,0,9447152,5.849301,8388481,0.038709,12204355,18.188149,3171782,1.034829,0.1492,2478.699951,2182.057199,,0.399393,,4364.114258,
Sample,05/04/2023 15:06,0,9447149,5.849284,8388478,0.038692,12206947,18.158647,3171668,1.034792,0.1502,2476,2179.775039,,0.398746,,4359.550293,
Sample,05/04/2023 15:07,0,9447131,5.849185,8388484,0.038725,12207152,18.156314,3171692,1.0348,0.1498,2476,2179.775039,,0.398882,,4359.550293,
Sample,05/04/2023 15:07,0,9447114,5.849092,8388481,0.038709,12205731,18.172487,3171677,1.034795,0.1503,2478.300049,2181.719178,,0.398797,,4363.438477,
Sample,05/04/2023 15:07,0,9447116,5.849103,8388481,0.038709,12205522,18.174866,3171707,1.034805,0.1496,2477.399902,2180.95832,,0.398967,,4361.916504,
Sample,05/04/2023 15:07,0,9447101,5.84902,8388484,0.038725,12205688,18.172976,3171848,1.034851,0.1504,2477.100098,2180.704907,,0.399768,,4361.409668,
Sample,05/04/2023 15:07,0,9447085,5.848932,8388478,0.038692,12205819,18.171485,3171610,1.034773,0.1547,2476.800049,2180.451288,,0.398416,,4360.902344,
Sample,05/04/2023 15:07,0,9447076,5.848883,8388477,0.038687,12206207,18.167069,3171671,1.034793,0.1479,2477.399902,2180.95832,,0.398763,,4361.916504,
Sample,05/04/2023 15:08,0,9447070,5.84885,8388481,0.038709,12205776,18.171975,3171768,1.034825,0.1577,2478.100098,2181.550167,,0.399314,,4363.100098,
Sample,05/04/2023 15:08,0,9447059,5.84879,8388484,0.038725,12205212,18.178394,3171699,1.034802,0.1598,2478.600098,2181.972797,,0.398922,,4363.945801,
Sample,05/04/2023 15:08,0,9447044,5.848707,8388476,0.038681,12204759,18.18355,3171831,1.034846,0.1598,2479.300049,2182.564438,,0.399671,,4365.128906,
Sample,05/04/2023 15:08,0,9447035,5.848658,8388476,0.038681,12204325,18.188491,3171757,1.034821,0.1568,2477.5,2181.042929,,0.399251,,4362.085938,
Sample,05/04/2023 15:08,0,9447028,5.848619,8388481,0.038709,12204166,18.1903,3171704,1.034804,0.1565,2477,2180.620299,,0.39895,,4361.240723,
Sample,05/04/2023 15:08,0,9447065,5.848822,8388478,0.038692,12204069,18.191405,3171668,1.034792,0.1045,2478.5,2181.888188,,0.398746,,4363.776367,
Sample,05/04/2023 15:09,0,9447003,5.848482,8388480,0.038703,12204014,18.192031,3171523,1.034744,0.1178,2477.699951,2181.211939,,0.397922,,4362.423828,
Sample,05/04/2023 15:09,0,9446980,5.848355,8388481,0.038709,12203978,18.192441,3171389,1.0347,8.2372,2500.300049,2200.314896,,0.397161,,4400.629883,
Sample,05/04/2023 15:09,0,9447017,5.848559,8388475,0.038676,12203793,18.194546,3171331,1.034681,0.252,2476.300049,2180.028658,,0.396831,,4360.057129,
Sample,05/04/2023 15:09,0,9446967,5.848284,8388476,0.038681,12204177,18.190175,3171428,1.034713,1.45,2496.100098,2196.764845,,0.397382,,4393.529785,
Sample,05/04/2023 15:09,0,9446970,5.8483,8388479,0.038698,12206203,18.167115,3171294,1.034669,14.051999,2529.5,2224.996444,,0.396621,,4449.992676,
Sample,05/04/2023 15:09,0,9446944,5.848157,8388481,0.038709,12205666,18.173227,3172742,1.035145,0.0608,2491.199951,2192.622948,,0.404838,,4385.246094,
Sample,05/04/2023 15:10,0,9446903,5.847932,8388483,0.03872,12205856,18.171064,3172583,1.035093,0.1215,2491.600098,2192.961176,,0.403937,,4385.922363,
Sample,05/04/2023 15:10,0,9446909,5.847965,8388478,0.038692,12205795,18.171758,3171599,1.034769,0.1254,2493,2194.144457,,0.398354,,4388.289062,
Sample,05/04/2023 15:10,0,9446907,5.847954,8388480,0.038703,12205006,18.180739,3171677,1.034795,0.1365,2491.5,2192.876567,,0.398797,,4385.75293,
Sample,05/04/2023 15:10,0,9446922,5.848036,8388482,0.038714,12205738,18.172407,3172468,1.035055,0.1176,2491.399902,2192.791959,,0.403285,,4385.583984,
Sample,05/04/2023 15:10,0,9446898,5.847904,8388477,0.038687,12205323,18.177131,3171499,1.034736,0.1096,2492.100098,2193.383806,,0.397786,,4386.767578,
Sample,05/04/2023 15:10,0,9446878,5.847794,8388474,0.03867,12204907,18.181866,3171792,1.034833,0.1028,2494.5,2195.412347,,0.39945,,4390.824707,
Sample,05/04/2023 15:11,0,9446875,5.847778,8388483,0.03872,12204859,18.182412,3170328,1.034352,0.2063,2490.199951,2191.777688,,0.391125,,4383.555176,
Sample,05/04/2023 15:11,0,9446864,5.847717,8388483,0.03872,12204545,18.185986,3170414,1.03438,1.7736,2488.399902,2190.256179,,0.391614,,4380.512207,
Sample,05/04/2023 15:11,0,9446885,5.847833,8388479,0.038698,12205287,18.17754,3171750,1.034819,0.0728,2496.199951,2196.849248,,0.399211,,4393.69873,
Sample,05/04/2023 15:11,0,9446869,5.847745,8388480,0.038703,12205479,18.175355,3171629,1.034779,0.117,2493.5,2194.567087,,0.398524,,4389.134277,
Sample,05/04/2023 15:11,0,9446861,5.847701,8388483,0.03872,12205780,18.171929,3171372,1.034695,26.312,2573.699951,2262.35689,,0.397064,,4524.713867,
Sample,05/04/2023 15:11,0,9446807,5.847404,8388480,0.038703,12208015,18.146493,3172075,1.034926,0.0609,2493.899902,2194.905108,,0.401056,,4389.810059,
Sample,05/04/2023 15:12,0,9446839,5.84758,8388483,0.03872,12208098,18.145548,3172252,1.034984,0.0723,2495.300049,2196.088596,,0.40206,,4392.177246,
Sample,05/04/2023 15:12,0,9446799,5.84736,8388477,0.038687,12205717,18.172646,3173055,1.035248,0.0559,2500,2200.061276,,0.406611,,4400.122559,
Sample,05/04/2023 15:12,0,9446793,5.847327,8388478,0.038692,12206276,18.166284,3172107,1.034936,0.0664,2492.899902,2194.059849,,0.401238,,4388.119629,
Sample,05/04/2023 15:12,0,9446776,5.847234,8388482,0.038714,12208237,18.143967,3171992,1.034898,0.208,2494.5,2195.412347,,0.400585,,4390.824707,
Sample,05/04/2023 15:12,0,9446772,5.847212,8388480,0.038703,12207487,18.152502,3171947,1.034884,0.0673,2493.600098,2194.651696,,0.40033,,4389.303223,
Sample,05/04/2023 15:12,0,9446769,5.847195,8388481,0.038709,12207818,18.148735,3172011,1.034905,0.0698,2496.899902,2197.440888,,0.400693,,4394.881836,
Sample,05/04/2023 15:17,0,9443396,5.828651,8388480,0.038703,12188125,18.37301,3171307,1.034673,0.1843,2493.199951,2194.313468,,0.396695,,4388.626953,
Sample,05/04/2023 15:17,0,9442385,5.823092,8388486,0.038736,12187647,18.378458,3171275,1.034663,0.1953,2492.699951,2193.890838,,0.396513,,4387.781738,
Sample,05/04/2023 15:17,0,9442238,5.822284,8388477,0.038687,12187479,18.380373,3171307,1.034673,0.189,2493,2194.144457,,0.396695,,4388.289062,
Sample,05/04/2023 15:18,0,9442152,5.821811,8388483,0.03872,12187277,18.382675,3171244,1.034653,0.186,2493.5,2194.567087,,0.396337,,4389.134277,
