HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,16/10/2024 16:17:40,23,9359904,5.369622,8388484,0.038725,11920996,21.455213,3108598,1.014065,11.958000,2222.600098,1965.586261,,0.011543,,3931.172607,
Sample,16/10/2024 16:17:41,23,9359877,5.369474,8388483,0.038720,11921016,21.454979,3108601,1.014066,12.588000,2225.699951,1968.206443,,0.011563,,3936.412842,
Sample,16/10/2024 16:17:42,23,9359851,5.369331,8388483,0.038720,11921030,21.454815,3108588,1.014062,12.063001,2222.500000,1965.501653,,0.011476,,3931.003418,
Sample,16/10/2024 16:17:43,23,9359812,5.369116,8388483,0.038720,11921027,21.454850,3108650,1.014082,27.279999,2199.300049,1945.891664,,0.011891,,3891.783447,
Sample,16/10/2024 16:17:44,23,9359773,5.368902,8388481,0.038709,11921366,21.450883,3107677,1.013762,0.139100,2146.500000,1901.261900,,0.005369,,3802.523682,
Sample,16/10/2024 16:17:45,23,9359731,5.368671,8388475,0.038676,11922182,21.441335,3107556,1.013723,4.553200,830.900024,3.732767,,0.004557,,7.465535,
Sample,16/10/2024 16:17:46,23,9359694,5.368467,8388481,0.038709,12002265,20.508646,3109864,1.014481,11.708000,-113.400002,9.616475,,0.020001,,19.232948,
Sample,16/10/2024 16:17:47,23,9359660,5.368281,8388474,0.038670,12199383,18.244756,3114038,1.015853,11.890000,-114.099998,9.766141,,0.047650,,19.532282,
Sample,16/10/2024 16:17:48,23,9359637,5.368154,8388478,0.038692,12365239,16.366599,3116984,1.016821,13.136999,-115.500000,10.791603,,0.066953,,21.583206,
Sample,16/10/2024 16:17:49,23,9359581,5.367846,8388477,0.038687,12469907,15.189777,3118157,1.017206,13.670000,-113.599998,11.229913,,0.074591,,22.459827,
Sample,16/10/2024 16:17:50,23,9359534,5.367588,8388481,0.038709,12526703,14.553012,3118628,1.017361,14.093000,-113.300003,11.577765,,0.077650,,23.155531,
Sample,16/10/2024 16:17:51,23,9359533,5.367582,8388476,0.038681,12556836,14.215543,3117621,1.017030,12.936000,-115.300003,10.626313,,0.071104,,21.252626,
Sample,16/10/2024 16:17:52,23,9359501,5.367406,8388484,0.038725,12594067,13.798838,3118864,1.017439,14.761000,-115.900002,12.127091,,0.079182,,24.254181,
Sample,16/10/2024 16:17:53,23,9359474,5.367258,8388482,0.038714,12627072,13.429600,3120699,1.018042,23.971001,-105.199997,19.700880,,0.091052,,39.401760,
Sample,16/10/2024 16:17:54,23,9359434,5.367038,8388478,0.038692,12652638,13.143649,3119999,1.017812,30.738998,-97.470001,25.266503,,0.086532,,50.533005,
Sample,16/10/2024 16:17:55,23,9359396,5.366829,8388476,0.038681,12668009,12.971740,3119933,1.017790,31.836002,-95.949997,26.168618,,0.086105,,52.337234,
Sample,16/10/2024 16:17:56,23,9359389,5.366791,8388479,0.038698,12672619,12.920183,3119701,1.017714,31.926001,-95.050003,26.242627,,0.084604,,52.485256,
Sample,16/10/2024 16:17:57,23,9359342,5.366532,8388481,0.038709,12671733,12.930092,3119785,1.017741,31.816000,-94.919998,26.152169,,0.085148,,52.304337,
Sample,16/10/2024 16:17:58,23,9359328,5.366455,8388478,0.038692,12669518,12.954864,3111212,1.014924,13.610001,-118.800003,11.180573,,0.028969,,22.361147,
Sample,16/10/2024 16:17:59,23,9359365,5.366659,8388479,0.038698,12678709,12.852074,3106474,1.013367,61.344002,307.899994,50.434346,,-1.000000,,100.868690,
Sample,16/10/2024 16:18:00,23,9359291,5.366252,8388480,0.038703,12683419,12.799398,3109793,1.014458,42.855000,-93.520004,35.230025,,0.019527,,70.460052,
Sample,16/10/2024 16:18:01,23,9359265,5.366109,8388480,0.038703,12697144,12.645897,3115992,1.016495,36.783001,-92.529999,30.236753,,0.060472,,60.473507,
Sample,16/10/2024 16:18:02,23,9359238,5.365960,8388477,0.038687,12703694,12.572638,3120296,1.017909,31.493000,-94.220001,25.886552,,0.088451,,51.773102,
Sample,16/10/2024 16:18:03,23,9359215,5.365834,8388481,0.038709,12707540,12.529622,3120259,1.017897,37.278999,-85.750000,30.644634,,0.088212,,61.289268,
Sample,16/10/2024 16:18:04,23,9359195,5.365724,8388483,0.038720,12707451,12.530617,3120348,1.017926,48.772003,-82.169998,40.095837,,0.088787,,80.191673,
Sample,16/10/2024 16:18:05,23,9359167,5.365570,8388479,0.038698,12706070,12.546064,3120199,1.017877,73.461998,-66.120003,60.399508,,0.087824,,120.799019,
Sample,16/10/2024 16:18:06,23,9359159,5.365526,8388481,0.038709,12703536,12.574406,3120067,1.017834,109.469994,-56.959999,90.010470,,0.086971,,180.020935,
Sample,16/10/2024 16:18:07,23,9359116,5.365290,8388478,0.038692,12700076,12.613104,3120130,1.017855,130.430008,-47.389999,107.246813,,0.087378,,214.493622,
Sample,16/10/2024 16:18:08,23,9359096,5.365180,8388480,0.038703,12696065,12.657964,3120173,1.017869,148.369995,-34.029999,121.999655,,0.087656,,243.999313,
Sample,16/10/2024 16:18:09,23,9359070,5.365037,8388476,0.038681,12692321,12.699838,3120088,1.017841,168.209991,-20.560001,138.314958,,0.087107,,276.629913,
Sample,16/10/2024 16:18:10,23,9359065,5.365009,8388481,0.038709,12689837,12.727619,3120206,1.017880,189.839996,-19.539999,156.102264,,0.087869,,312.204529,
Sample,16/10/2024 16:18:11,23,9359031,5.364822,8388481,0.038709,12688669,12.740682,3120087,1.017840,179.529999,-19.000000,147.623899,,0.087100,,295.247803,
Sample,16/10/2024 16:18:12,23,9359010,5.364707,8388482,0.038714,12687996,12.748209,3120038,1.017824,168.369995,-21.850000,138.446536,,0.086784,,276.893066,
Sample,16/10/2024 16:18:13,23,9358974,5.364509,8388479,0.038698,12687073,12.758532,3120136,1.017857,161.720001,-23.780001,132.977953,,0.087417,,265.955902,
Sample,16/10/2024 16:18:14,23,9358975,5.364515,8388485,0.038731,12685935,12.771259,3120199,1.017877,171.990005,-25.530001,141.423430,,0.087824,,282.846863,
Sample,16/10/2024 16:18:15,23,9358952,5.364388,8388478,0.038692,12684804,12.783908,3120209,1.017881,181.209991,-15.900000,149.005431,,0.087889,,298.010864,
Sample,16/10/2024 16:18:16,23,9358916,5.364190,8388484,0.038725,12683864,12.794421,3120100,1.017845,180.309998,-20.549999,148.265326,,0.087184,,296.530640,
Sample,16/10/2024 16:18:17,23,9358921,5.364218,8388474,0.038670,12683043,12.803603,3120106,1.017847,183.709991,-23.360001,151.061291,,0.087223,,302.122589,
Sample,16/10/2024 16:18:18,23,9358891,5.364053,8388481,0.038709,12682319,12.811700,3120085,1.017840,179.869995,-19.480000,147.903493,,0.087088,,295.806976,
Sample,16/10/2024 16:18:19,23,9358848,5.363816,8388481,0.038709,12681671,12.818947,3119985,1.017807,171.509995,-23.039999,141.028696,,0.086441,,282.057404,
Sample,16/10/2024 16:18:20,23,9358836,5.363750,8388479,0.038698,12681077,12.825590,3120184,1.017872,162.970001,-27.920002,134.005883,,0.087727,,268.011780,
Sample,16/10/2024 16:18:21,23,9358813,5.363624,8388477,0.038687,12680441,12.832703,3120031,1.017822,158.980011,-28.529999,130.724738,,0.086738,,261.449463,
Sample,16/10/2024 16:18:22,23,9358804,5.363574,8388479,0.038698,12679748,12.840454,3119979,1.017805,156.899994,-28.939999,129.014249,,0.086402,,258.028503,
Sample,16/10/2024 16:18:23,23,9358777,5.363426,8388479,0.038698,12678916,12.849759,3120017,1.017817,151.470001,-33.610001,124.548927,,0.086648,,249.097855,
Sample,16/10/2024 16:18:24,23,9358759,5.363327,8388484,0.038725,12678043,12.859522,3119921,1.017786,152.490005,-28.660000,125.387721,,0.086027,,250.775436,
Sample,16/10/2024 16:18:25,23,9358726,5.363146,8388480,0.038703,12677109,12.869968,3119895,1.017777,153.850006,-31.579998,126.506109,,0.085859,,253.012222,
Sample,16/10/2024 16:18:26,23,9358693,5.362964,8388482,0.038714,12676150,12.880693,3119907,1.017781,155.440002,-26.710001,127.813633,,0.085937,,255.627274,
Sample,16/10/2024 16:18:27,23,9358697,5.362986,8388479,0.038698,12675214,12.891161,3120041,1.017825,154.480011,-26.500000,127.024190,,0.086803,,254.048386,
Sample,16/10/2024 16:18:28,23,9358662,5.362794,8388485,0.038731,12674316,12.901204,3119860,1.017766,153.680008,-28.210001,126.366312,,0.085633,,252.732620,
Sample,16/10/2024 16:18:29,23,9358657,5.362766,8388480,0.038703,12673415,12.911281,3120035,1.017823,153.930008,-30.629999,126.571898,,0.086764,,253.143799,
Sample,16/10/2024 16:18:30,23,9358634,5.362640,8388480,0.038703,12672608,12.920306,3119886,1.017774,152.399994,-33.060001,125.313700,,0.085801,,250.627396,
Sample,16/10/2024 16:18:31,23,9358589,5.362392,8388484,0.038725,12671875,12.928504,3119941,1.017792,149.419998,-34.110001,122.863119,,0.086157,,245.726242,
Sample,16/10/2024 16:18:32,23,9358583,5.362359,8388483,0.038720,12671228,12.935740,3120002,1.017813,145.669998,-34.760002,119.779328,,0.086551,,239.558655,
Sample,16/10/2024 16:18:33,23,9358565,5.362260,8388481,0.038709,12670559,12.943222,3120044,1.017826,143.449997,-34.200001,117.953724,,0.086823,,235.907440,
Sample,16/10/2024 16:18:34,23,9358554,5.362200,8388479,0.038698,12669962,12.949898,3120010,1.017815,143.190002,-34.480000,117.739919,,0.086603,,235.479843,
Sample,16/10/2024 16:18:35,23,9358538,5.362112,8388481,0.038709,12669372,12.956497,3120055,1.017830,141.699997,-32.540001,116.514622,,0.086894,,233.029236,
Sample,16/10/2024 16:18:36,23,9358511,5.361964,8388483,0.038720,12668812,12.962760,3120091,1.017842,139.360001,-36.020000,114.590339,,0.087126,,229.180679,
Sample,16/10/2024 16:18:37,23,9358481,5.361799,8388480,0.038703,12668294,12.968553,3119962,1.017799,135.980011,-37.709999,111.810825,,0.086292,,223.621643,
Sample,16/10/2024 16:18:38,23,9358453,5.361645,8388484,0.038725,12667782,12.974279,3120007,1.017814,132.529999,-36.180000,108.973728,,0.086583,,217.947449,
Sample,16/10/2024 16:18:39,23,9358448,5.361617,8388484,0.038725,12667369,12.978898,3120071,1.017835,129.139999,-39.529999,106.185982,,0.086997,,212.371964,
Sample,16/10/2024 16:18:40,23,9358425,5.361491,8388478,0.038692,12667018,12.982823,3120027,1.017821,127.349998,-40.230000,104.713985,,0.086713,,209.427963,
