Time,Temp,IR,Vis,Lux,VBAT,turbidity_std
26/09/2024 14:58,22.91,4528,6664,111,3.59,0
26/09/2024 14:58,22.91,4526,6675,112,3.59,0
26/09/2024 14:58,22.92,4494,6604,109,3.59,0
26/09/2024 14:58,22.9,4452,6475,102,3.59,0
26/09/2024 14:59,22.9,4380,6290,93,3.59,0
26/09/2024 14:59,22.91,4328,6157,88,3.59,0
26/09/2024 14:59,22.91,4317,6135,87,3.59,0
26/09/2024 14:59,22.9,4289,6042,82,3.59,0
26/09/2024 15:00,22.91,4224,5964,82,3.59,0
26/09/2024 15:00,22.94,4190,5896,80,3.59,0
26/09/2024 15:00,22.92,4251,6011,83,3.59,0
26/09/2024 15:00,22.93,4269,6037,84,3.59,0
26/09/2024 15:01,22.9,4267,6040,84,3.59,0
26/09/2024 15:01,22.93,4282,6077,86,3.58,0
26/09/2024 15:01,22.89,4307,6123,87,3.59,0
26/09/2024 15:01,22.9,4330,6167,88,3.59,0
26/09/2024 15:02,22.9,4364,6243,91,3.59,0
26/09/2024 15:02,22.9,4394,6308,94,3.59,0
26/09/2024 15:02,22.91,4412,6346,95,3.59,0
26/09/2024 15:02,22.89,4369,6256,92,3.59,0
26/09/2024 15:03,22.94,4331,6173,89,3.59,0
26/09/2024 15:03,22.91,4244,6020,84,3.59,0
26/09/2024 15:03,22.89,4268,6085,88,3.59,0
26/09/2024 15:03,22.91,4339,6249,94,3.59,0
26/09/2024 15:03,22.92,4406,6394,100,3.59,0
26/09/2024 15:04,22.9,4451,6469,102,3.59,0
26/09/2024 15:04,22.9,4464,6489,102,3.59,0
26/09/2024 15:04,22.91,4497,6577,106,3.59,0
26/09/2024 15:04,22.91,4530,6664,111,3.59,0
26/09/2024 15:05,22.92,4560,6755,115,3.58,0
26/09/2024 15:05,22.9,4507,6632,110,3.59,0
26/09/2024 15:05,22.9,4378,6310,96,3.59,0
26/09/2024 15:05,22.94,4251,6023,84,3.59,0
26/09/2024 15:06,22.91,4204,5938,82,3.59,0
26/09/2024 15:06,22.92,4211,5962,83,3.59,0
26/09/2024 15:06,22.94,4319,6169,90,3.59,0
26/09/2024 15:06,22.91,4350,6250,93,3.59,0
26/09/2024 15:07,22.92,4375,6308,96,3.59,0
26/09/2024 15:07,22.93,4407,6396,100,3.59,0
26/09/2024 15:07,22.94,4418,6432,102,3.59,0
26/09/2024 15:07,22.94,4402,6416,102,3.59,0
26/09/2024 15:08,22.94,4346,6294,97,3.59,0
26/09/2024 15:08,22.92,4262,6108,90,3.59,0
26/09/2024 15:08,22.93,4232,6019,86,3.59,0
26/09/2024 15:08,22.94,4244,6040,86,3.59,0
26/09/2024 15:09,22.94,4300,6138,89,3.59,0
26/09/2024 15:09,22.91,4289,6115,88,3.59,0
26/09/2024 15:09,22.94,4392,6313,94,3.59,0
26/09/2024 15:09,22.91,4472,6519,104,3.59,0
26/09/2024 15:10,22.94,4568,6776,116,3.59,0
26/09/2024 15:10,22.92,4567,6783,117,3.59,0
26/09/2024 15:10,22.93,4467,6529,105,3.59,0
26/09/2024 15:10,22.94,4365,6273,94,3.59,0
26/09/2024 15:11,22.94,4368,6286,95,3.59,0
26/09/2024 15:11,22.94,4402,6373,99,3.59,0
26/09/2024 15:11,22.94,4349,6284,96,3.59,0
26/09/2024 15:11,22.94,4293,6156,91,3.59,0
26/09/2024 15:12,22.94,4250,6050,86,3.58,0
26/09/2024 15:12,22.94,4269,6073,87,3.59,0
26/09/2024 15:12,22.94,4293,6105,87,3.59,0
26/09/2024 15:12,22.94,4279,6072,85,3.59,0
26/09/2024 15:12,22.94,4316,6154,88,3.59,0
