Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
Sample,25/04/2023 14:17,23,,,12794629,11.555118,3204857,1.0457,0.0322,2744,2406.304693,,0.581128,,4812.609375,
Sample,25/04/2023 14:18,23,,,12794087,11.561187,3205006,1.045749,0.0374,2737.399902,2400.725895,,0.581922,,4801.45166,
Sample,25/04/2023 14:18,23,,,12793550,11.567199,3205069,1.04577,0.0192,2730.899902,2395.231706,,0.582257,,4790.463379,
Sample,25/04/2023 14:18,23,,,12793033,11.572988,3204558,1.045602,0.0352,2727.399902,2392.273296,,0.579535,,4784.546387,
Sample,25/04/2023 14:18,23,,,12792540,11.578508,3205078,1.045773,0.0303,2724.199951,2389.568506,,0.582305,,4779.137207,
Sample,25/04/2023 14:18,23,,,12792075,11.583714,3204734,1.04566,1.3068,2609.100098,2292.279215,,0.580473,,4584.558594,
Sample,25/04/2023 14:18,23,9421372,5.707566,12791658,11.588383,3204942,1.045728,0.1131,2109.5,1869.987284,,0.581581,,3739.974609,
Sample,25/04/2023 14:18,23,,,12791249,11.592962,3204775,1.045674,0.1405,1656.900024,1487.422671,,0.580692,,2974.845459,
Sample,25/04/2023 14:18,23,,,12791033,11.595381,3204872,1.045705,0.1685,1341.900024,1221.165801,,0.581208,,2442.331543,
Sample,25/04/2023 14:18,23,,,12790656,11.599602,3204701,1.045649,0.2119,1146,1055.579365,,0.580297,,2111.158691,
Sample,25/04/2023 14:18,23,,,12790238,11.604282,3204809,1.045685,0.2152,1349.900024,1227.92788,,0.580873,,2455.855713,
Sample,25/04/2023 14:18,23,,,12789758,11.609656,3205010,1.045751,0.199,1151.099976,1059.89017,,0.581943,,2119.780273,
Sample,25/04/2023 14:18,23,,,12789280,11.615007,3204842,1.045696,0.2366,1330.900024,1211.867942,,0.581048,,2423.73584,
Sample,25/04/2023 14:18,23,,,12788791,11.620482,3205047,1.045763,0.2096,1269.800049,1160.222583,,0.58214,,2320.445068,
Sample,25/04/2023 14:18,23,,,12788317,11.625789,3204622,1.045623,0.2416,1684.800049,1511.005443,,0.579876,,3022.010986,
Sample,25/04/2023 14:18,23,,,12787793,11.631655,3205038,1.04576,0.2359,1936.900024,1724.095445,,0.582092,,3448.190918,
Sample,25/04/2023 14:18,23,,,12787233,11.637925,3204884,1.045709,0.2247,1858.300049,1657.658037,,0.581272,,3315.316162,
Sample,25/04/2023 14:18,23,,,12786664,11.644295,3204972,1.045738,0.2197,1448.199951,1311.016867,,0.581741,,2622.033691,
Sample,25/04/2023 14:18,23,,,12786126,11.650318,3204821,1.045689,0.2422,1913.599976,1704.400848,,0.580937,,3408.801758,
Sample,25/04/2023 14:18,23,,,12785593,11.656285,3204912,1.045719,0.2117,1241.5,1136.301686,,0.581421,,2272.603271,
Sample,25/04/2023 14:18,23,,,12785073,11.662106,3205099,1.04578,0.2068,1326,1207.726148,,0.582417,,2415.452393,
Sample,25/04/2023 14:18,23,,,12784553,11.667927,3204859,1.045701,0.2426,1903.199951,1695.610124,,0.581139,,3391.220215,
Sample,25/04/2023 14:18,23,,,12784089,11.673122,3205049,1.045764,0.2241,1636.699951,1470.348359,,0.582151,,2940.696777,
Sample,25/04/2023 14:18,23,,,12783648,11.678059,3205045,1.045762,0.2311,2348.600098,2072.089009,,0.58213,,4144.178223,
Sample,25/04/2023 14:18,23,,,12783244,11.682581,3205020,1.045754,0.2359,2080.800049,1845.728366,,0.581996,,3691.456787,
Sample,25/04/2023 14:18,23,,,12782861,11.686869,3204813,1.045686,0.2434,1691.599976,1516.753149,,0.580894,,3033.506348,
Sample,25/04/2023 14:18,23,9421309,5.707219,12782503,11.690876,3204957,1.045733,0.2188,1230.5,1127.003827,,0.581661,,2254.007568,
Sample,25/04/2023 14:18,23,,,12782105,11.695332,3204875,1.045706,0.1869,1131.5,1043.323097,,0.581224,,2086.64624,
Sample,25/04/2023 14:18,23,,,12781780,11.69897,3205141,1.045794,0.1885,1133.900024,1045.351741,,0.582641,,2090.703369,
Sample,25/04/2023 14:18,23,,,12781446,11.702709,3204972,1.045738,0.209,1151.599976,1060.3128,,0.581741,,2120.625488,
Sample,25/04/2023 14:18,23,,,12781139,11.706145,3205040,1.045761,0.2189,1406.300049,1275.60056,,0.582103,,2551.201172,
Sample,25/04/2023 14:18,23,,,12780804,11.709895,3205013,1.045752,0.2047,2422.199951,2134.300015,,0.581959,,4268.600098,
Sample,25/04/2023 14:18,23,,,12780450,11.713858,3204998,1.045747,0.2464,1940.199951,1726.88474,,0.581879,,3453.769531,
Sample,25/04/2023 14:18,23,,,12780104,11.717731,3204868,1.045704,0.2681,2628.199951,2308.423555,,0.581187,,4616.847168,
Sample,25/04/2023 14:18,23,,,12779798,11.721157,3205112,1.045784,0.2416,1737.199951,1555.29698,,0.582486,,3110.593994,
Sample,25/04/2023 14:18,23,,,12779473,11.724795,3205037,1.04576,0.2611,2215.699951,1959.753844,,0.582087,,3919.507568,
Sample,25/04/2023 14:18,23,,,12779191,11.727951,3204898,1.045714,0.237,2421.800049,2133.961993,,0.581347,,4267.923828,
Sample,25/04/2023 14:18,23,,,12778851,11.731757,3205023,1.045755,0.3401,2654.5,2330.653932,,0.582012,,4661.308105,
Sample,25/04/2023 14:18,23,,,12778530,11.73535,3204671,1.045639,0.222,1278,1167.153673,,0.580137,,2334.307373,
Sample,25/04/2023 14:18,23,,,12778219,11.738831,3204953,1.045732,0.1939,1108.800049,1024.135738,,0.58164,,2048.271484,
Sample,25/04/2023 14:18,23,,,12777922,11.742156,3204882,1.045709,0.1641,1266.5,1157.433184,,0.581261,,2314.866455,
Sample,25/04/2023 14:18,23,,,12777584,11.745939,3204990,1.045744,0.1881,1210.5,1110.098629,,0.581837,,2220.197266,
Sample,25/04/2023 14:18,23,,,12777265,11.74951,3204924,1.045723,0.1474,1473.199951,1332.148365,,0.581485,,2664.296631,
Sample,25/04/2023 14:18,23,,,12776912,11.753461,3205028,1.045757,0.1437,1463.300049,1323.780374,,0.582039,,2647.560791,
Sample,25/04/2023 14:18,23,,,12776655,11.756338,3204901,1.045715,0.1422,1679.199951,1506.271905,,0.581363,,3012.543701,
Sample,25/04/2023 14:18,23,,,12776334,11.759931,3205108,1.045783,0.1085,1826.099976,1630.440606,,0.582465,,3260.881104,
Sample,25/04/2023 14:18,23,9421265,5.706977,12776049,11.763121,3204933,1.045725,0.1058,1972.599976,1754.271182,,0.581533,,3508.54248,
Sample,25/04/2023 14:18,23,,,12775695,11.767083,3204953,1.045732,0.1281,2089.399902,1852.997477,,0.58164,,3705.994873,
Sample,25/04/2023 14:18,23,,,12775389,11.770509,3205143,1.045794,0.107,2040.300049,1811.495339,,0.582651,,3622.990723,
Sample,25/04/2023 14:18,23,,,12775056,11.774236,3204987,1.045743,0.1151,2047.099976,1817.243045,,0.581821,,3634.486084,
Sample,25/04/2023 14:18,23,,,12774759,11.77756,3204993,1.045745,0.1155,2120.5,1879.285143,,0.581853,,3758.570312,
Sample,25/04/2023 14:18,23,,,12774446,11.781064,3205074,1.045772,0.1126,2064.899902,1832.288609,,0.582284,,3664.577148,
Sample,25/04/2023 14:18,23,,,12774149,11.784388,3205002,1.045748,0.1047,2301.5,2032.277185,,0.581901,,4064.554443,
Sample,25/04/2023 14:18,23,,,12773818,11.788093,3204980,1.045741,0.1031,2401.699951,2116.972187,,0.581783,,4233.944336,
Sample,25/04/2023 14:18,23,,,12773507,11.791574,3205066,1.045769,0.106,2257.899902,1995.423771,,0.582241,,3990.847656,
Sample,25/04/2023 14:18,23,,,12773181,11.795222,3205098,1.04578,0.0934,2336.800049,2062.114901,,0.582412,,4124.22998,
Sample,25/04/2023 14:18,23,,,12772843,11.799006,3205006,1.045749,0.0879,2539,2233.026413,,0.581922,,4466.052734,
Sample,25/04/2023 14:18,23,,,12772520,11.802621,3205045,1.045762,0.1004,2323.5,2050.872903,,0.58213,,4101.745605,
