HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,11/07/2025 10:55:05,0,9130548,4.108651,8388486,0.038736,11665809,24.492232,3193213,1.041873,0.440200,2469.199951,2174.027230,,0.518456,,4348.054688,
Sample,11/07/2025 10:55:35,0,9130618,4.109036,8388485,0.038731,11665755,24.492887,3193217,1.041875,0.460400,2516.399902,2213.923456,,0.518478,,4427.846680,
Sample,11/07/2025 10:56:05,0,9130657,4.109250,8388483,0.038720,11670166,24.439436,3193328,1.041911,0.193000,2445.000000,2153.571982,,0.519082,,4307.144043,
Sample,11/07/2025 10:56:35,0,9130708,4.109531,8388485,0.038731,11675681,24.372660,3193177,1.041861,0.267800,2460.699951,2166.842521,,0.518260,,4333.685059,
Sample,11/07/2025 10:57:05,0,9130256,4.107046,8388486,0.038736,11683818,24.274240,3193363,1.041923,0.014800,2584.399902,2271.401130,,0.519272,,4542.802246,
Sample,11/07/2025 10:57:35,0,9130826,4.110179,8388488,0.038747,11698099,24.101803,3193273,1.041893,0.103500,2827.600098,2476.968504,,0.518782,,4953.937012,
Sample,11/07/2025 10:58:05,0,9130883,4.110493,8388484,0.038725,11714924,23.899128,3193515,1.041972,0.095100,2755.300049,2415.856171,,0.520098,,4831.712402,
Sample,11/07/2025 10:58:35,0,9130945,4.110834,8388482,0.038714,11711038,23.945893,3193473,1.041959,0.084500,2798.300049,2452.202347,,0.519870,,4904.404785,
Sample,11/07/2025 10:59:05,0,9130996,4.111114,8388484,0.038725,11719370,23.845656,3193488,1.041964,0.090800,2794.300049,2448.821308,,0.519952,,4897.642578,
Sample,11/07/2025 10:59:35,0,9131036,4.111334,8388480,0.038703,11717025,23.873855,3193592,1.041998,0.098100,2879.800049,2521.091030,,0.520517,,5042.182129,
Sample,11/07/2025 11:00:05,0,9131073,4.111537,8388489,0.038753,11721577,23.819126,3193228,1.041878,0.083000,2542.500000,2235.984822,,0.518538,,4471.969727,
Sample,11/07/2025 11:00:35,0,9130500,4.108387,8388482,0.038714,11720953,23.826626,3193352,1.041919,16.173000,2565.899902,2255.763822,,0.519212,,4511.527832,
Sample,11/07/2025 11:01:05,0,9130543,4.108624,8388487,0.038742,11709485,23.964590,3193374,1.041926,15.975000,2564.199951,2254.326921,,0.519332,,4508.653809,
Sample,11/07/2025 11:01:35,0,9130597,4.108920,8388484,0.038725,11706011,24.006431,3193465,1.041956,15.756999,2566.600098,2256.355669,,0.519827,,4512.711426,
Sample,11/07/2025 11:02:05,0,9130687,4.109415,8388482,0.038714,11704491,24.024744,3193531,1.041978,15.676999,2572.800049,2261.596239,,0.520185,,4523.192383,
Sample,11/07/2025 11:02:35,0,9131216,4.112324,8388486,0.038736,11703627,24.035156,3193687,1.042029,0.101700,1633.199951,1467.389950,,0.521033,,2934.779785,
Sample,11/07/2025 11:03:05,0,9131234,4.112423,8388479,0.038698,11747288,23.510690,3191962,1.041462,0.367000,2516.100098,2213.670043,,0.511643,,4427.339844,
Sample,11/07/2025 11:03:35,0,9130744,4.109729,8388477,0.038687,11732657,23.686065,3192504,1.041640,6.027500,2579.399902,2267.174830,,0.514597,,4534.349609,
Sample,11/07/2025 11:04:05,0,9131291,4.112736,8388489,0.038753,11767986,23.263226,3192180,1.041534,0.234000,2577.699951,2265.737930,,0.512831,,4531.476074,
Sample,11/07/2025 11:04:35,0,9131324,4.112917,8388484,0.038725,11782542,23.089632,3191524,1.041318,0.077600,2625.000000,2305.718765,,0.509253,,4611.437500,
Sample,11/07/2025 11:05:05,0,9130677,4.109360,8388487,0.038742,12184602,18.413168,3295969,1.075652,1.745600,-63.670002,1.423954,,1.034832,,2.847908,
Sample,11/07/2025 11:05:35,0,9130793,4.109998,8388483,0.038720,12208878,18.136672,3488925,1.139109,1.891600,-68.970001,1.544016,,1.873499,,3.088032,
Sample,11/07/2025 11:06:05,0,9130824,4.110168,8388481,0.038709,12218035,18.032508,3642706,1.189706,1.538900,-68.279999,1.253975,,2.485103,,2.507951,
Sample,11/07/2025 11:06:35,0,9130743,4.109723,8388480,0.038703,12225774,17.944529,3729689,1.218335,2.039500,-70.009995,1.665641,,2.819216,,3.331281,
Sample,11/07/2025 11:07:05,0,9130697,4.109470,8388483,0.038720,12227407,17.925971,3883875,1.269099,2.114700,-70.070000,1.727481,,3.398197,,3.454962,
Sample,11/07/2025 11:07:35,0,9130625,4.109074,8388480,0.038703,12233310,17.858905,4013061,1.311649,4.468000,-69.919998,3.662703,,3.874285,,7.325407,
Sample,11/07/2025 11:08:05,0,9130512,4.108453,8388482,0.038714,12233073,17.861597,4111501,1.344081,1.739000,-72.110001,1.418526,,4.233185,,2.837053,
Sample,11/07/2025 11:08:35,0,9130372,4.107683,8388483,0.038720,12236393,17.823889,4197524,1.372429,2.016500,-71.000000,1.646727,,4.544699,,3.293454,
Sample,11/07/2025 11:09:05,0,9130236,4.106936,8388487,0.038742,12241297,17.768206,4341202,1.419792,1.713500,-71.830002,1.397557,,5.061572,,2.795113,
Sample,11/07/2025 11:09:35,0,9130035,4.105831,8388487,0.038742,12242246,17.757433,4474686,1.463810,2.128100,-73.669998,1.738501,,5.538797,,3.477001,
Sample,11/07/2025 11:10:05,0,9129890,4.105033,8388487,0.038742,12241757,17.762984,4531106,1.482419,2.858000,-72.889999,2.338729,,5.739821,,4.677458,
Sample,11/07/2025 11:10:35,0,9129685,4.103906,8388485,0.038731,12243819,17.739577,4633906,1.516334,2.305200,-70.830002,1.884137,,6.105226,,3.768275,
Sample,11/07/2025 11:11:05,0,9129501,4.102895,8388486,0.038736,12245653,17.718761,4808947,1.574102,2.097500,-72.610001,1.713337,,6.725293,,3.426674,
Sample,11/07/2025 11:11:35,0,9129274,4.101647,8388487,0.038742,12245189,17.724027,4926681,1.612971,2.178100,-74.599998,1.779618,,7.141158,,3.559236,
Sample,11/07/2025 11:12:05,0,9129075,4.100553,8388481,0.038709,12244068,17.736751,5013126,1.641518,1.839100,-71.870003,1.500843,,7.446008,,3.001686,
Sample,11/07/2025 11:12:35,0,9128856,4.099349,8388482,0.038714,12245317,17.722575,5070481,1.660461,2.006600,-72.290001,1.638586,,7.648070,,3.277171,
Sample,11/07/2025 11:13:05,0,9128656,4.098249,8388486,0.038736,12248357,17.688076,5171945,1.693980,2.923600,-73.159996,2.392675,,8.005184,,4.785351,
Sample,11/07/2025 11:13:35,0,9128441,4.097067,8388485,0.038731,12247470,17.698141,5341022,1.749853,1.979000,-72.870003,1.615889,,8.599438,,3.231778,
Sample,11/07/2025 11:14:05,0,9128199,4.095736,8388489,0.038753,12246891,17.704711,5456239,1.787941,1.781500,-73.479996,1.453476,,9.003900,,2.906952,
Sample,11/07/2025 11:14:35,0,9128002,4.094653,8388485,0.038731,12247866,17.693647,5493563,1.800281,1.980000,-73.629997,1.616711,,9.134851,,3.233423,
Sample,11/07/2025 11:15:05,0,9127761,4.093328,8388484,0.038725,12248056,17.691491,5578199,1.828269,2.716200,-74.080002,2.222121,,9.431680,,4.444242,
Sample,11/07/2025 11:15:35,0,9127567,4.092262,8388482,0.038714,12250756,17.660856,5683802,1.863197,3.673000,-70.889999,3.008940,,9.801840,,6.017879,
Sample,11/07/2025 11:16:05,0,9127337,4.090997,8388484,0.038725,12252065,17.646006,5807832,1.904232,2.248900,-75.659996,1.837840,,10.236343,,3.675679,
Sample,11/07/2025 11:16:35,0,9127125,4.089832,8388486,0.038736,12251774,17.649307,5990324,1.964629,2.438300,-72.900002,1.993591,,10.875255,,3.987183,
Sample,11/07/2025 11:17:05,0,9126919,4.088699,8388487,0.038742,12249678,17.673087,6086422,1.996443,1.689700,-73.699997,1.377985,,11.211543,,2.755970,
Sample,11/07/2025 11:17:35,0,9126692,4.087451,8388490,0.038758,12251307,17.654605,6003001,1.968825,2.584900,-72.029999,2.114147,,10.919623,,4.228294,
Sample,11/07/2025 11:18:05,0,9126459,4.086170,8388482,0.038714,12252382,17.642410,5929912,1.944632,2.334300,-71.809998,1.908068,,10.663796,,3.816136,
Sample,11/07/2025 11:18:35,0,9126253,4.085038,8388481,0.038709,12252740,17.638349,5867396,1.923942,2.459400,-72.919998,2.010943,,10.444926,,4.021885,
Sample,11/07/2025 11:19:05,0,9126035,4.083839,8388485,0.038731,12252058,17.646085,5859977,1.921487,1.904300,-71.190002,1.554460,,10.418949,,3.108920,
Sample,11/07/2025 11:19:35,0,9125816,4.082635,8388480,0.038703,12253457,17.630215,5782674,1.895907,2.287100,-73.199997,1.869253,,10.148229,,3.738507,
Sample,11/07/2025 11:20:05,0,9125620,4.081557,8388488,0.038747,12251769,17.649364,5660661,1.855543,1.990600,-72.770004,1.625428,,9.720744,,3.250856,
Sample,11/07/2025 11:20:35,0,9125411,4.080408,8388484,0.038725,12252474,17.641366,5474113,1.793850,2.623200,-74.479996,2.145643,,9.066615,,4.291286,
Sample,11/07/2025 11:21:05,0,9125203,4.079265,8388482,0.038714,12252802,17.637645,5471808,1.793088,1.690300,-74.120003,1.378478,,9.058528,,2.756956,
Sample,11/07/2025 11:21:35,0,9124979,4.078033,8388488,0.038747,12252073,17.645915,5372654,1.760309,2.500000,-72.809998,2.044330,,8.710515,,4.088660,
Sample,11/07/2025 11:22:05,0,9124792,4.077005,8388488,0.038747,12252746,17.638281,5277251,1.728777,1.838700,-74.659996,1.500514,,8.375412,,3.001028,
Sample,11/07/2025 11:22:35,0,9124626,4.076093,8388487,0.038742,12251951,17.647299,5140628,1.683634,2.233500,-74.240005,1.825176,,7.895004,,3.650351,
Sample,11/07/2025 11:23:05,0,9124403,4.074867,8388489,0.038753,12253576,17.628866,5084300,1.665026,1.613400,-74.770004,1.315240,,7.696733,,2.630480,
Sample,11/07/2025 11:23:35,0,9124211,4.073811,8388482,0.038714,12252817,17.637475,4972709,1.628170,2.320800,-71.220001,1.896966,,7.303524,,3.793932,
Sample,11/07/2025 11:24:05,0,9124032,4.072827,8388486,0.038736,12253704,17.627414,4885861,1.599493,1.816300,-74.690002,1.482094,,6.997066,,2.964187,
Sample,11/07/2025 11:24:35,0,9123841,4.071777,8388487,0.038742,12253266,17.632382,4670725,1.528483,1.751000,-73.809998,1.428395,,6.235858,,2.856789,
Sample,11/07/2025 11:25:05,0,9123649,4.070721,8388485,0.038731,12252682,17.639007,4499425,1.471969,2.003300,-75.870003,1.635872,,5.626987,,3.271744,
Sample,11/07/2025 11:25:35,0,9123481,4.069798,8388491,0.038764,12251761,17.649455,4375329,1.431044,1.645600,-75.150002,1.341719,,5.183821,,2.683439,
Sample,11/07/2025 11:26:05,0,9123293,4.068764,8388483,0.038720,12252460,17.641525,4266046,1.395015,2.238600,-73.279999,1.829370,,4.791679,,3.658739,
Sample,11/07/2025 11:26:35,0,9123129,4.067862,8388487,0.038742,12251061,17.657396,4091461,1.337478,2.030300,-71.209999,1.658075,,4.160348,,3.316150,
Sample,11/07/2025 11:27:05,0,9122956,4.066911,8388483,0.038720,12248391,17.687690,3874610,1.266048,3.258300,-74.639999,2.667914,,3.363780,,5.335827,
Sample,11/07/2025 11:27:35,0,9122766,4.065867,8388491,0.038764,12244135,17.735990,3698646,1.208117,1.652200,-74.970001,1.347147,,2.700725,,2.694294,
Sample,11/07/2025 11:28:05,0,9122611,4.065014,8388484,0.038725,12239075,17.793433,3470139,1.132929,1.503700,-73.900002,1.225029,,1.796237,,2.450058,
Sample,11/07/2025 11:28:35,0,9121945,4.061353,8388487,0.038742,12235605,17.832838,3207207,1.046473,4.735400,2402.699951,2117.817446,,0.593620,,4235.634766,
Sample,11/07/2025 11:29:05,0,9122249,4.063024,8388488,0.038747,12213357,18.085713,3203915,1.045391,142.319992,2845.800049,2492.352193,,0.576107,,4984.704590,
Sample,11/07/2025 11:29:35,0,9122092,4.062161,8388483,0.038720,12197864,18.262055,3204049,1.045435,132.230011,2824.699951,2474.517126,,0.576822,,4949.034180,
Sample,11/07/2025 11:30:05,0,9122683,4.065410,8388486,0.038736,12182215,18.440383,3203792,1.045350,0.066700,1406.800049,1276.023190,,0.575450,,2552.046387,
Sample,11/07/2025 11:30:35,0,9122538,4.064613,8388488,0.038747,12163968,18.648596,3203756,1.045339,0.068000,1794.400024,1603.645908,,0.575258,,3207.291748,
Sample,11/07/2025 11:31:05,0,9122454,4.064151,8388484,0.038725,12145000,18.865365,3203879,1.045379,0.067800,2086.899902,1850.884327,,0.575915,,3701.768555,
Sample,11/07/2025 11:31:35,0,9121646,4.059709,8388491,0.038764,12130787,19.028021,3203588,1.045283,41.948997,2692.100098,2362.435787,,0.574362,,4724.871582,
Sample,11/07/2025 11:32:05,0,9121572,4.059302,8388485,0.038731,12118241,19.171767,3203297,1.045188,54.957996,2624.899902,2305.634156,,0.572808,,4611.268555,
Sample,11/07/2025 11:32:35,0,9122306,4.063338,8388484,0.038725,12107640,19.293353,3203147,1.045138,0.065000,1665.500000,1494.691886,,0.572007,,2989.383789,
Sample,11/07/2025 11:33:05,0,9122248,4.063019,8388483,0.038720,12094060,19.449277,3203072,1.045114,0.083800,1502.800049,1357.168141,,0.571606,,2714.336182,
Sample,11/07/2025 11:33:35,0,9122270,4.063140,8388491,0.038764,12084678,19.557114,3202857,1.045043,0.079900,1503.000000,1357.337151,,0.570457,,2714.674316,
Sample,11/07/2025 11:34:05,0,9122248,4.063019,8388483,0.038720,12070618,19.718899,3202572,1.044949,0.104000,1151.800049,1060.481914,,0.568933,,2120.963867,
Sample,11/07/2025 11:34:35,0,9122264,4.063107,8388483,0.038720,12057404,19.871150,3202336,1.044872,0.084800,1490.800049,1347.025022,,0.567671,,2694.050049,
Sample,11/07/2025 11:35:05,0,9122289,4.063244,8388484,0.038725,12047000,19.991163,3202195,1.044826,0.095200,1411.599976,1280.080375,,0.566916,,2560.160645,
Sample,11/07/2025 11:35:35,0,9122275,4.063167,8388489,0.038753,12035329,20.125941,3202041,1.044775,0.103200,1164.099976,1070.878549,,0.566092,,2141.757080,
Sample,11/07/2025 11:36:05,0,9122324,4.063436,8388485,0.038731,12025158,20.243527,3201712,1.044667,0.120500,1020.599976,0.087563,,0.564330,,0.175125,
Sample,11/07/2025 11:36:35,0,9122101,4.062210,8388489,0.038753,12015815,20.351649,3201504,1.044598,0.013100,2664.000000,2338.683901,,0.563216,,4677.367676,
Sample,11/07/2025 11:37:05,0,9122399,4.063849,8388486,0.038736,12004778,20.479512,3201310,1.044535,0.105600,1139.599976,1050.169681,,0.562176,,2100.339355,
Sample,11/07/2025 11:37:35,0,9122396,4.063832,8388484,0.038725,11995620,20.585721,3201069,1.044455,0.109700,1094.599976,1012.132986,,0.560884,,2024.265991,
Sample,11/07/2025 11:38:05,0,9122453,4.064146,8388485,0.038731,11987584,20.679004,3200836,1.044379,0.112300,1061.900024,0.080819,,0.559635,,0.161639,
Sample,11/07/2025 11:38:35,0,9122506,4.064437,8388482,0.038714,11979357,20.774590,3200673,1.044325,0.164500,2459.300049,2165.659240,,0.558760,,4331.318359,
Sample,11/07/2025 11:39:05,0,9122555,4.064706,8388487,0.038742,11970159,20.881559,3200431,1.044246,0.130600,1056.699951,0.095868,,0.557461,,0.191736,
Sample,11/07/2025 11:39:35,0,9122581,4.064849,8388489,0.038753,11963499,20.959082,3200261,1.044190,0.136900,1154.599976,1062.848580,,0.556549,,2125.697266,
Sample,11/07/2025 11:40:05,0,9122089,4.062144,8388482,0.038714,11956606,21.039377,3200230,1.044180,0.044900,2664.199951,2338.852912,,0.556382,,4677.706055,
Sample,11/07/2025 11:40:35,0,9122727,4.065652,8388490,0.038758,11949379,21.123632,3200578,1.044294,0.147600,1664.000000,1493.423996,,0.558250,,2986.847900,
Sample,11/07/2025 11:41:05,0,9122793,4.066015,8388485,0.038731,11944165,21.184461,3199917,1.044077,0.162000,2634.899902,2314.086755,,0.554701,,4628.173340,
Sample,11/07/2025 11:41:35,0,9122844,4.066295,8388486,0.038736,11940248,21.230183,3199686,1.044001,0.212000,2554.100098,2245.789920,,0.553459,,4491.580078,
Sample,11/07/2025 11:42:05,0,9122905,4.066631,8388488,0.038747,11932987,21.314995,3199518,1.043946,0.172000,2642.000000,2320.088183,,0.552556,,4640.176270,
Sample,11/07/2025 11:42:35,0,9122964,4.066955,8388484,0.038725,11931906,21.327627,3199231,1.043851,0.210400,2596.600098,2281.713466,,0.551012,,4563.426758,
Sample,11/07/2025 11:43:05,0,9122981,4.067049,8388485,0.038731,11932310,21.322906,3199126,1.043817,0.117100,2681.800049,2353.729568,,0.550447,,4707.458984,
