VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,
19th July, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA,1, Disabled, NA, NA, NA, NA,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,
COEFFS,-46.089977, 5.4978768e-06,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028, 1.9068084e-11,-7.06E-19, 8.0592888e-27,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,
COEFFS,-0.002612514, 3.2540086e-07, 5.6441919e-16,-1.06E-23,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd,,,,,,,,,,,,,,
COEFFS,0,2,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1,,,,,,,,,,,,,,
START TIME, 18/07/2023 14:44:44,,,,,,,,,,,,,,,
STOP TIME, 20/07/2023 16:38:11,,,,,,,,,,,,,,,
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,20/07/2023 11:03,23,,,11775978,23.16787,3173698,1.035459,549.589966,5941.799805,5109.276652,,0.41025,,10218.55371,
Sample,20/07/2023 11:03,23,,,11776231,23.164853,3176988,1.03654,0.0056,3278.600098,2858.180721,,0.428791,,5716.361328,
Sample,20/07/2023 11:03,23,,,11778191,23.141484,3175157,1.035939,0.4809,2818.5,2469.276556,,0.418488,,4938.553223,
Sample,20/07/2023 11:03,23,,,11779617,23.124487,3174053,1.035576,0.0375,2712.199951,2379.425387,,0.412257,,4758.850586,
Sample,20/07/2023 11:03,23,,,11779977,23.120196,3174058,1.035577,0.0409,2707.300049,2375.283696,,0.412285,,4750.567383,
Sample,20/07/2023 11:03,23,,,11780603,23.112736,3174244,1.035639,0.0251,2707.699951,2375.621717,,0.413336,,4751.243652,
Sample,20/07/2023 11:03,23,,,11781033,23.107611,3174345,1.035672,0.0351,2709,2376.720597,,0.413906,,4753.441406,
Sample,20/07/2023 11:03,23,,,11780856,23.109721,3174245,1.035639,0.0388,2713.100098,2380.186245,,0.413342,,4760.372559,
Sample,20/07/2023 11:03,23,,,11781476,23.102333,3174233,1.035635,0.0382,2701.899902,2370.719169,,0.413274,,4741.438477,
Sample,20/07/2023 11:03,23,,,11782658,23.08825,3174284,1.035652,0.0862,2700.899902,2369.873909,,0.413562,,4739.748047,
Sample,20/07/2023 11:03,23,,,11783270,23.080959,3174382,1.035684,0.129,2338.399902,2063.467193,,0.414115,,4126.93457,
Sample,20/07/2023 11:03,23,,,11783315,23.080423,3175423,1.036026,0.0745,2612.899902,2295.491037,,0.419987,,4590.981934,
Sample,20/07/2023 11:03,23,,,11783150,23.082388,3175185,1.035948,0.0882,2399.800049,2115.366275,,0.418646,,4230.732422,
Sample,20/07/2023 11:03,23,,,11782759,23.087046,3175198,1.035952,0.0919,2171.5,1922.393398,,0.418719,,3844.786865,
Sample,20/07/2023 11:03,23,,,11782675,23.088047,3175647,1.0361,0.0876,2814.399902,2465.810908,,0.421249,,4931.621582,
Sample,20/07/2023 11:03,23,,,11782375,23.091621,3175500,1.036051,0.0686,2890.399902,2530.050661,,0.420421,,5060.101562,
Sample,20/07/2023 11:03,23,,,11781479,23.102297,3175473,1.036043,0.091,2900.100098,2538.249847,,0.420269,,5076.499512,
Sample,20/07/2023 11:03,23,,,11780123,23.118456,3175523,1.036059,0.0822,2818.300049,2469.107545,,0.420551,,4938.215332,
Sample,20/07/2023 11:03,23,9355279,5.344194,11778911,23.132902,3175359,1.036005,0.0597,2887.100098,2527.261468,,0.419627,,5054.522949,
Sample,20/07/2023 11:03,23,,,11777903,23.144918,3175555,1.03607,0.0807,2125,1883.088812,,0.420731,,3766.177734,
Sample,20/07/2023 11:03,23,,,11777015,23.155505,3175602,1.036085,0.1689,1284.400024,1172.563357,,0.420996,,2345.126709,
Sample,20/07/2023 11:03,23,,,11776135,23.165998,3175442,1.036032,0.1718,1251.5,1144.754285,,0.420094,,2289.508545,
Sample,20/07/2023 11:04,23,,,11775828,23.169659,3175304,1.035987,0.4598,2707.5,2375.452707,,0.419317,,4750.905273,
Sample,20/07/2023 11:04,23,,,11775764,23.170422,3175598,1.036084,0.0849,2848.199951,2494.380734,,0.420973,,4988.76123,
Sample,20/07/2023 11:04,23,,,11775383,23.174965,3173890,1.035522,0.0988,2164.800049,1916.730198,,0.411336,,3833.460449,
Sample,20/07/2023 11:04,23,,,11775931,23.16843,3174099,1.035591,347.839996,8938,7641.844544,,0.412517,,15283.68945,
Sample,20/07/2023 11:04,23,,,11777101,23.154479,3174064,1.035579,0.2025,2689.800049,2360.491648,,0.412319,,4720.983398,
Sample,20/07/2023 11:04,23,,,11777959,23.14425,3174082,1.035585,0.0763,2688.399902,2359.30816,,0.412421,,4718.616211,
Sample,20/07/2023 11:04,23,,,11779132,23.130267,3174088,1.035587,0.1218,2700.600098,2369.620496,,0.412455,,4739.241211,
Sample,20/07/2023 11:04,23,,,11780065,23.119147,3173996,1.035557,211.800003,4633.5,4003.423283,,0.411935,,8006.84668,
Sample,20/07/2023 11:04,23,,,11781271,23.104775,3174038,1.035571,0.2314,2575.100098,2263.540378,,0.412172,,4527.080566,
Sample,20/07/2023 11:04,23,,,11782632,23.088559,3174059,1.035578,0.1939,1828,1632.04662,,0.412291,,3264.093262,
Sample,20/07/2023 11:04,23,,,11784311,23.068559,3173952,1.035543,0.1635,1412.199951,1280.587511,,0.411686,,2561.175049,
Sample,20/07/2023 11:04,23,,,11786447,23.043121,3173953,1.035543,0.0596,2711,2378.411116,,0.411692,,4756.822266,
Sample,20/07/2023 11:04,23,,,11787506,23.030512,3174111,1.035595,0.0101,2688.800049,2359.646388,,0.412585,,4719.292969,
Sample,20/07/2023 11:04,23,,,11787601,23.029381,3174174,1.035616,0.0858,2719.199951,2385.342206,,0.41294,,4770.68457,
Sample,20/07/2023 11:04,23,,,11787999,23.024643,3174158,1.03561,0.0151,2663.300049,2338.09226,,0.41285,,4676.18457,
Sample,20/07/2023 11:04,23,,,11787773,23.027333,3174109,1.035594,0.1655,2626,2306.564024,,0.412573,,4613.12793,
Sample,20/07/2023 11:04,23,9356439,5.350572,11787415,23.031595,3174172,1.035615,0.1558,2628.300049,2308.508164,,0.412929,,4617.016113,
Sample,20/07/2023 11:04,23,,,11787227,23.033834,3174033,1.035569,0.8373,2634.600098,2313.833342,,0.412144,,4627.666504,
Sample,20/07/2023 11:04,23,,,11786731,23.039739,3174139,1.035604,0.0535,3070.100098,2681.944031,,0.412743,,5363.888184,
Sample,20/07/2023 11:04,23,,,11786108,23.047157,3174269,1.035647,0.3896,2631.699951,2311.381965,,0.413477,,4622.76416,
Sample,20/07/2023 11:04,23,,,11786541,23.042001,3174077,1.035584,0.0668,2637.300049,2316.115503,,0.412392,,4632.230957,
Sample,20/07/2023 11:04,23,,,11786653,23.040668,3174068,1.035581,0.0853,2321.300049,2049.013373,,0.412342,,4098.026855,
Sample,20/07/2023 11:04,23,,,11785991,23.048551,3174156,1.03561,0.0138,2644.5,2322.201333,,0.412839,,4644.402832,
Sample,20/07/2023 11:04,23,,,11785286,23.056946,3174089,1.035588,0.2431,2649.899902,2326.765654,,0.41246,,4653.53125,
Sample,20/07/2023 11:04,23,,,11784594,23.065188,3174111,1.035595,0.203,2637.800049,2316.538133,,0.412585,,4633.076172,
Sample,20/07/2023 11:04,23,,,11783743,23.075324,3174232,1.035635,0.2288,2636.800049,2315.692873,,0.413268,,4631.385742,
Sample,20/07/2023 11:04,23,,,11782869,23.085736,3174128,1.0356,0.3371,2599,2283.742007,,0.412681,,4567.483887,
Sample,20/07/2023 11:04,23,,,11781978,23.096351,3174099,1.035591,0.1439,2277.100098,2011.652926,,0.412517,,4023.305908,
Sample,20/07/2023 11:04,23,,,11781962,23.096542,3174109,1.035594,0.4455,2636.199951,2315.185634,,0.412573,,4630.371094,
Sample,20/07/2023 11:04,23,,,11781982,23.096304,3174018,1.035564,0.3108,2624.699951,2305.465145,,0.412059,,4610.930176,
Sample,20/07/2023 11:04,23,,,11781959,23.096578,3174122,1.035599,0.4103,2619.5,2301.069835,,0.412647,,4602.139648,
Sample,20/07/2023 11:04,23,,,11781695,23.099723,3173946,1.035541,4.5761,2635.5,2314.593994,,0.411652,,4629.187988,
Sample,20/07/2023 11:04,23,,,11781155,23.106158,3174077,1.035584,3.1273,2632.199951,2311.804595,,0.412392,,4623.609375,
Sample,20/07/2023 11:04,23,,,11780466,23.114368,3174050,1.035575,0.0394,2635.399902,2314.509385,,0.41224,,4629.018555,
Sample,20/07/2023 11:04,23,,,11779833,23.121912,3174086,1.035587,0.0004,2555.300049,2246.80419,,0.412443,,4493.608398,
Sample,20/07/2023 11:04,23,,,11778930,23.132675,3174131,1.035601,0.1861,2515.5,2213.162805,,0.412698,,4426.325684,
Sample,20/07/2023 11:04,23,9357478,5.356284,11778556,23.137133,3174165,1.035613,0.1108,2671.699951,2345.192361,,0.41289,,4690.384766,
Sample,20/07/2023 11:04,23,,,11778016,23.143571,3174134,1.035602,0.5325,2623.600098,2304.535483,,0.412715,,4609.070801,
Sample,20/07/2023 11:04,23,,,11777532,23.149341,3174200,1.035624,0.3801,2624.800049,2305.549754,,0.413087,,4611.099609,
Sample,20/07/2023 11:04,23,,,11776924,23.15659,3174216,1.035629,1.4549,2622.899902,2303.943636,,0.413178,,4607.887207,
Sample,20/07/2023 11:04,23,,,11776350,23.163434,3174171,1.035615,0.1864,2627.399902,2307.747306,,0.412924,,4615.494629,
